181/47,Chocobo Alert 1
181/48,Chocobo Alert 2
181/49,Dust Trail
181/50,Confetti
181/51,Choco Food #1
181/52,Choco Food #2
181/53,Choco Food #3
181/54,
181/55,Sandy Course Race
181/55,
181/89-91,Chocobo Races
183/56,Chocobo Races
183/57,Course de Chocobos
183/58,Chocobo Rennen
183/59,Chocobo Start
183/60,Goal
183/61,Complete
211/9-12,Chocobo racing effects
184/3,Chocobo Races - The d'Oraguille Victory Malm
184/4
184/5
184/6,Chocobo Races - Gustaberg Derby
184/7
184/8
184/9,Chocobo Races - Rakapopo Cup
184/10
184/11
184/12,Crystal Stakes
184/13,Circuit du Cristal
184/14,Kristall Turnier
221/103,Chocobo Digging
