1/202/44,k-paw
1/302/14,Smawl Yellow Electricity Cloud
1/302/15,Yellow Electricity Cloud
1/302/16,Smawl Attack
1/302/17,Pikachu Thunderbolt
1/302/18,White Thunder Ball
1/302/19,Short Range Horizontal Thunder
1/302/20,Thunderball Explosion
1/302/21,Electrical Poof
1/302/22,Multi-Colored Electrical Storm
1/304/108,Battlefield Aura
1/307/95,Heart Explosion (Teodor)
1/310/110,Some kinda light attack?
1/310/111,Some kinda light attack?
1/310/119,Light Animations
1/310/120,Dark Animations
1/316/61,Snow Fireworks?
1/316/63,Waterworks
1/316/89,Red Eyes 
1/316/90,Nice Gradual Snow Effect
1/316/91,Darkness Fist Effect
1/316/93,Nice Gradual Snow Effect
1/316/116,Screen goes Purple
1/316/124,A Poof
1/320/25,Pink Wangs and Purple Glow
1/320/70,Poof Confetti
1/321/70,Big Thunderbolt
1/322/109,Attacking an Invisible Ball
1/322/116,Rotating Eye
1/322/117,Purple Green Red Aura
1/322/119,Epic Vortex Explosion
1/322/124,Bright Eye on the Ground (Teodor)
1/322/126,Crazy Snow Effect

1/323/0,Green Flames (Teodor)
1/323/2,Ra'Kaznar Inner Court Teleporter
1/323/3,Pink Wangs and More Aura
1/323/4,A Pew that makes an Ice Ice Ice Mountain
1/323/6,Red Glass Evaporating
1/323/7,Red Ground Sword Attack
1/323/12,Hexagonal Bust
1/323/13,Vertical Laser Beam
1/323/14,Vertical Laser Beam
1/323/48,Kamehameha Leaving the Planet (Teodor)
1/323/58,Stronk Portal
1/323/59,Smawl Aura
1/323/61,Ridiculous Reverberating Wall
1/323/62,Swirling Kaznar
1/323/63,Snow Series
1/323/64,Vortex Wing Attack
1/323/65,HailStorm Weather Effect
1/323/70,Black Cloud Vanishing (Teodor)
1/323/71,Constant Flamethrower
1/323/75,Electrical Vortex
1/323/77,Hailstorm and Red Lighting Attacks
1/323/82,Kaznar Magic
1/323/83,Demonic Shower
1/323/86,Super Saiyan Hand Attack
1/323/89,More Hail
1/323/90,Kaznar Ground Effects
1/323/105,Targeted Crystal Attack (Teodor)
1/323/106,Targeted Crystal Attack with Silence (Teodor)
1/323/107,Red Dot Go Boom (Teodor)
1/323/108,Teodor Power Up (Teodor)
1/323/109,Smawl Attack
1/323/110,Sinner's Cross (Teodor)
1/323/111,Teodor Misc Attacks
1/323/112,Teodor Misc Attacks Collection
1/323/113,Cool Wangs that Attack
1/323/114,Demonic Guillotine - Aminon
1/323/115,Red Claw Poof - Aminon
1/323/116,Green Poof
1/323/117,Lightning Poof
1/323/118,Slash Flame Poof
1/323/119,Ice Poof Blizzard Mountain
1/323/120,Sudden Flood
1/323/121,White Collapse Asteroid Attack
1/323/122,Cool Sudden Impact
1/323/123,Aminon Attack
1/323/124,Explosion
1/323/125,Woosh Attack
1/323/126,Aminon Attack
1/323/127,Laser then explosion
1/324/0,Sphere explosion then another Sphere
1/324/1,Light Vortex then Spikes Attack
1/324/2,Fire Explosion
1/324/3,Ice makes Ice Glaciers
1/324/4,Fire Vortex
1/324/5,Earth Eruption
1/324/6,Thunderball Explosion
1/324/7,Water Explosion
1/324/8,Lasers then thrashing then explosion
1/324/9,Purple Vortex then Spikes Attack
1/324/10,Darkness Explosion
1/324/44,Massive Explosion
1/324/50,Aminon Attack
1/324/51,Smawl Flame Horizontal Comet
1/326/81,6-hit light attack

1/337/120,Blizzard Fist Attacks
1/337/121,Whiteout Poof Attacks
1/337/122,Whiteout Poof Attacks
1/337/123,Double Whiteout Poof Attacks
1/337/124,White Purple Cool Attacks
1/337/125,Whirlwind Mega Tornado Attack
1/337/126,Whirlwind Light Ray Attacks go Poof
1/337/127,Wind Bursting Hail
1/338/0,White Star Collapses
1/338/1,Universal Explosion
1/338/2,Curing the World?
1/338/3,Destroying the world and then destroying the Universe
1/338/4,Red and Black Thunder
1/338/5,Black Cloud Thunder Attack

345/117-126;350/42;350/79-83,Cloud of Darkness Animation

3/7/3,Wind Burst

4/2/28,Red Star Animation
4/2/29,Shiny Star Animation
4/2/30,Green Star Animation
4/2/31,Yellow Star Animation
4/2/32,Pink Star Animation
4/2/33,Purple Star Animation
4/2/34,Mega Star Animation
4/2/35,Mega Star Animation
4/2/36,Red Mega Star Animation
4/2/37,Shiny Mega Star Animation
4/2/38,Green Mega Star Animation
4/2/39,Yellow Mega Star Animation
4/2/40,Pink Mega Star Animation
4/2/41,Purple Mega Star Animation
4/2/42-51,More Mega Star Animations
5/8/71,Multiple Bomb Animations

1/302/90,Flower Attack #1
6/0/0,Flower Attack #2
6/0/1,Blind and Confused
6/0/2,Round Portal Boom
6/0/3,Black Band Cool Attack
6/0/4,Frying Pan Attack
6/0/5,White Explosion
6/0/6,Temporary Portal
6/0/7,White Circle Explosion
6/0/100,Continuous Snow Fall and Stars
6/0/101,Continuous Rising Stars
6/0/103,Blinding Light with Blinding Explosion
6/0/105,Continuous Blinding Light and how Vana'diel was Made
6/0/106,Cool Teleport
6/0/107,Sphere around magic

8/0/31,Massive Comet Attack!!!!!
8/0/33,Magical Piece of Paper
8/0/36,Purple and Red Gateways
8/0/37,Massive Explosions

9/2/122-127,Light Attacks
