???,2/12/119,kusa
Al'Taieu,3/0/32,rok1
Al'Taieu,3/0/32,sint
Altepa,2/0/1,yuka
Bastok,1/22,yuka
Bastok,5/0/11,tr_j
Bastok,5/0/7,s_re
Bastok,5/0/7,s_te
Beaucedine Glacier,5/0/21,yuki
Chateau d'Oraguille,1/33,yuka
D. Jueno,2/12/119,map1
D. Jueno,2/12/119,tenj
D. Jueno,2/12/119,yuka
Eldieme Necropolis,5/0/28,uwa0
Grand Palace of Hu'Xzoi,3/0/33,dor2
Grand Palace of Hu'Xzoi,3/0/33,tile
Grand Palace of Hu'Xzoi,3/0/33,yuka
Grid,5/0/21,gar_
Jeuno,1/20,yuka
Kazham,2/0/25,yuka
Manaclipper,3/0/2,yuka
Metalworks,1/37,yuka
Mog House ToAU,4/0/33,mog1
Palace,4/0/25,ar_t
Palace,4/0/25,ar_y
San d'Oria,1/21,m_sa
sea,4/0/3,gun_
Shrouded Maw,3/0/9,kabe
Sparkle,188/20,uvgh
Wajaom,4/1/99,gz_w
Windurst,1/23,yuka
Wooden Floor,2/0/28,yuka
Wooden Floor,5/0/31,yuka
Zvahl,5/0/25,zva_
