17/24,West Ronfaure
17/25,East Ronfaure
17/26,La Theine Plateau
17/27,Valkurm Dunes
17/28,Jugner Forest
17/29,Batallia Downs
17/30,North Gustaberg
17/31,South Gustaberg
17/32,Konschtat Highlands
17/33,Pashhow Marshlands
17/34,Rolanberry Fields
17/35,Beaucedine Glacier
17/36,Xarcabard
17/39,West Sarutabaruta
17/40,East Sarutabaruta
17/41,Tahrongi Canyon
17/42,Buburimu Peninsula
17/43,Meriphataud Mountains
17/44,Sauromugue Champaign
17/47,Qufim Island
17/48,Behemoth's Dominion
17/51-52,Ghelsba Outpost
17/53,Fort Ghelsba
17/54;18/112-113,Yughott Grotto
17/55-57,Palborough Mines
17/59-60,Giddeus
17/62-63,Beadeaux
17/65,Qulun Dome
17/66,Davoi
17/67,Monastic Cavern
17/68-71;18/47;51-52,Castle Oztroja
17/72,Altar Room
17/84-96;18/101-103,Delkfutt's Tower
17/101;18/98-100,Castle Zvahl Baileys
17/107-110;18/107-110,Castle Zvahl Keep
17/111,Ranguemont Pass
17/112-114,Bostaunieux Oubliette
17/117;18/48,Toraimarai Canal
17/120,Zeruhn Mines
18/8;11-13,King Ranperre's Tomb
18/9-10;14,Dangruf Wadi
18/15-17;19;50;115,Outer Horutoto Ruins
18/18;45-46;49,Inner Horutoto Ruins
18/20-22;114,Ordelle's Caves
18/23-25;116,The Eldieme Necropolis
18/26-29;117,Gusgen Mines
18/30-31;111;118,Crawlers' Nest
18/32-33;119,Maze of Shakhrami
18/34;42-44;120,Garlaige Citadel
18/37-38;121,Fei'Yin
242/60,Abyssea - Konschtat
242/61,Abyssea - Tahrongi
242/62,Abyssea - La Theine
254/56,Abyssea - Attohwa
254/57,Abyssea - Misareaux
254/58,Abyssea - Vunkerl
258/125,Abyssea - Altepa
258/126,Abyssea - Uleguerand
258/127,Abyssea - Grauberg
267/112,Dynamis - San d'Oria
267/113,Dynamis - Bastok
267/114,Dynamis - Windurst
267/115,Dynamis - Jeuno
267/116,Dynamis - Beaucedine
267/117,Dynamis - Xarcabard
267/118,Dynamis - Valkurm
267/119,Dynamis - Buburimu
267/120,Dynamis - Qufim
267/121-123,Dynamis - Tavnazia
