16/82,Cape Teriggan
16/83,Eastern Altepa Desert
16/84,The Sanctuary of Zi'Tah
16/85,Ro'Maeve
16/86,Yuhtunga Jungle
16/87,Yhoator Jungle
16/88,Western Altepa Desert
16/89,Valley of Sorrows
16/90,Ru'Aun Gardens
16/91-94,The Boyahda Tree
16/95,Dragon's Aery
16/96-99,Temple of Uggalepih
16/100-108,Den of Rancor
16/109,Toraimarai Canal
1/17/121,Korroloka Tunnel (Full)
16/110-114,Korroloka Tunnel
16/115-118,Kuftal Tunnel
16/119-123,Sea Serpent Grotto
16/124-17/4,Ve'Lugannon Palace
17/5-10,The Shrine of Ru'Avitau
1/18/39-40,Ifrit's Cauldron (Full)
17/11-18;24/6,Ifrit's Cauldron
17/19-24;24/7-8,Quicksand Caves
17/25-26,Gustav Tunnel
17/27,Labyrinth of Onzozo
17/31,Hall of the Gods
