3/99;8/31,Phanauet Channel
3/100,Bibiki Bay
3/101,Bibiki Bay -Purgonorgo Isle-
3/102,Uleguerand Range
3/103,Attohwa Chasm
3/104-119,Pso'Xja
3/120,Oldton Movalpolos
3/121,Newton Movalpolos
3/122,Hall of Transference (Holla)
3/123,Hall of Transference (Dem)
3/124,Hall of Transference (Mea)
3/125,Promyvion - Holla
3/126,Promyvion - Dem
3/127,Promyvion - Mea
4/0,Promyvion - Vahzl
4/1,Lufaise Meadows
4/2,Misareaux Coast
4/6-7;5/118,Phomiuna Aqueducts
4/8-9,Sacrarium
4/10-11,Riverne - Site #B01
4/12-13,Riverne - Site #A01
4/14,Al'Taieu
4/15-16;5/120,Grand Palace of Hu'Xzoi
4/17-20,The Garden of Ru'Hmet
5/119,Sealion's Den
7/38-39,Carpenters' Landing
8/32,Manaclipper
8/33,Diorama Abdhaljs-Ghelsba
8/34-35,Abdhaljs Isle-Purgonorgo
