3/79,Wajaom Woodlands
3/80-81,Bhaflau Thickets
3/83-85;4/113-120,Arrapago Reef
3/86-95,Ilrusi Atoll
3/96-105,Periqia
3/108,Mount Zhayolm
3/109-110;5/6;6/55,Halvung
3/111-120,Lebros Cavern
3/121-122;5/5,Mamook
3/123-4/4,Mamool Ja Training Grounds
4/5-11,Aydeewa Subterrane
4/12-21,Leujaoam Sanctum
4/22-28,Chocobo Circuit
4/29-30,The Colosseum
4/31-35;5/59-65,Alzadaal Undersea Ruins
4/36-43,Nyzul Isle
4/46-49,Caedarva Mire
10/114-120,Zhayolm Remnants
10/121-127,Arrapago Remnants
11/0-4,Bhaflau Remnants
11/5-9,Silver Sea Remnants
4/44-45,No Map
