17/72, Altar Room
18/65, Bastok Markets
18/64, Bastok Mines
17/29, Batallia Downs
17/62-63, Beadeaux
17/35, Beaucedine Glacier
17/48, Behemoth's Dominion
17/112-114, Bostaunieux Oubliette
17/42, Buburimu Peninsula
17/68-71;18/47;51-52, Castle Oztroja
17/101;18/98-100, Castle Zvahl Baileys
17/107-110;18/107-110, Castle Zvahl Keep
18/62, Chateau d'Oraguille
18/30-31;111;118, Crawlers' Nest
18/9-10;14, Dangruf Wadi
17/66, Davoi
17/84-96;18/101-103, Delkfutt's Tower
17/25, East Ronfaure
17/40, East Sarutabaruta
18/37-38;121, Fei'Yin
17/53, Fort Ghelsba
18/34;42-44;120, Garlaige Citadel
17/51-52, Ghelsba Outpost
17/59-60, Giddeus
18/26-29;117, Gusgen Mines
18/18;45-46;49, Inner Horutoto Ruins
17/28, Jugner Forest
18/8;11-13, King Ranperre's Tomb
17/32, Konschtat Highlands
17/26, La Theine Plateau
18/77, Lower Jeuno
18/32-33;119, Maze of Shakhrami
17/43, Meriphataud Mountains
18/67, Metalworks
18/81, Mhaura
17/67, Monastic Cavern
17/30, North Gustaberg
18/60, Northern San d'Oria
18/20-22;114, Ordelle's Caves
18/15-17;19;50;115, Outer Horutoto Ruins
17/55-57, Palborough Mines
17/33, Pashhow Marshlands
18/66, Port Bastok
18/78, Port Jeuno
18/61, Port San d'Oria
18/71, Port Windurst
17/47, Qufim Island
17/65, Qulun Dome
17/111, Ranguemont Pass
17/34, Rolanberry Fields
18/75, Ru'Lude Gardens
17/44, Sau1ugue Champaign
18/80, Selbina
17/31, South Gustaberg
18/59, Southern San d'Oria
17/41, Tahrongi Canyon
18/23-25;116, The Eldieme Necropolis
18/74;92-94, The Federation of Windurst
18/79;95-97, The Grand Duchy of Jeuno
18/63;86-88, The Kingdom of San d'Oria
18/68;89-91, The Republic of Bastok
17/117;18/48, Toraimarai Canal
18/76, Upper Jeuno
17/27, Valkurm Dunes
17/24, West Ronfaure
17/39, West Sarutabaruta
18/70, Windurst Walls
18/69;84-85, Windurst Waters
18/72, Windurst Woods
17/36, Xarcabard
17/54;18/112-113, Yughott Grotto
17/120, Zeruhn Mines

