284/5-6, Abdhaljs Isle-Purgonorgo
283/118, Al'Taieu
283/79, Attohwa Chasm
283/76, Bibiki Bay
283/77, Bibiki Bay -Purgonorgo Isle-
283/75;284/0-1, Carpenters' Landing
284/4, Diorama Abdhaljs-Ghelsba
283/119-120;283/127, Grand Palace of Hu'Xzoi
283/99, Hall of Transference (Dem)
283/98, Hall of Transference (Holla)
283/100, Hall of Transference (Mea)
283/105, Lufaise Meadows
284/3, Manaclipper
283/106, Misareaux Coast
283/97, Newton Movalpolos
283/96, Oldton Movalpolos
8/31;283/75;284/2, Phanauet Channel
283/110-111;283/125, Phomiuna Aqueducts
283/102, Promyvion - Dem
283/101, Promyvion - Holla
283/103, Promyvion - Mea
283/104, Promyvion - Vahzl
283/80-95, Pso'Xja
283/116-117, Riverne - Site #A01
283/114-115, Riverne - Site #B01
283/112-113, Sacrarium
283/126, Sealion's Den
267/121-123, Tavnazian Safehold
283/121-124, The Garden of Ru'Hmet
283/78, Uleguerand Range
