base-game, Base Game (Starter Zones) Maps
rise-of-the-zilart, Rise of the Zilart Maps
chains-of-promathia, Chains of Promathia Maps
treasures-of-aht-urhgan, Treasures of Aht Urhgan Maps
wings-of-the-goddess, Wings of the Goddess Maps
seekers-of-adoulin, Seekers of Adoulin Maps
rhapsodies-of-vanadiel, Rhapsodies of Vana'diel Maps
addons-and-scenarios, Add-ons & Scenarios Maps
abyssea, Abyssea Maps
dynamis, Dynamis Maps
salvage, Salvage Maps
ui-and-system, UI & System Images
cutscenes, Cutscene Images
misc, Miscellaneous Maps
