8/104;169/10;216/123, ???
18/56, Airship: Bastok to Jeuno Route
18/55, Airship: San d'Oria to Jeuno Route
18/57, Airship: Windurst to Jeuno Route
17/23, Conquest Map
17/37-38;17/45-46;17/49;17/64;17/75-82;17/97-100;17/102-106;17/115-116;17/118-119;17/123-127;18/0-7;18/35-36;18/58;18/73;18/82-83, Dummy Map
17/50;17/58;17/61;17/73-74;17/83;18/41;18/105-106;284/112-113;285/38;285/61-62;285/83, No Map
18/53;18/54, Ship: Selbina-Mhaura Route
18/122, Stellar Map
18/124, The Creatures of Vana'diel
18/123;118/121, The Prime Elements
