282/121,Cape Teriggan
283/11-19,Den of Rancor
283/6,Dragon's Aery
282/122,Eastern Altepa Desert
283/64-65,Gustav Tunnel
283/70,Hall of the Gods
1/18/39-40;283/50-57;283/72,Ifrit's Cauldron
17/121;283/21-25,Korroloka Tunnel
17/122;283/26-29,Kuftal Tunnel
283/66,Labyrinth of Onzozo
283/58-63;283/73-74,Quicksand Caves
283/68,Rabao
282/124,Ro'Maeve
283/1,Ru'Aun Gardens
283/30-34,Sea Serpent Grotto
283/7-10,Temple of Uggalepih
283/2-5,The Boyahda Tree
282/123,The Sanctuary of Zi'Tah
283/44-49,The Shrine of Ru'Avitau
283/0,Valley of Sorrows
283/35-43,Ve'Lugannon Palace
282/127,Western Altepa Desert
282/126,Yhoator Jungle
282/125,Yuhtunga Jungle
