91/41-48, Elvaan Female A
91/105-112, Elvaan Female B
91/33-40, Elvaan Male A
91/97-104, Elvaan Male B
108/93-99, End Credits
91/73-80, Galka A
92/9-16, Galka B
91/25-32, Hume Female A
91/89-96, Hume Female B
91/17-24, Hume Male A
91/81-88, Hume Male B
0/13, Icons
91/65-72, Mithra A
92/1-8, Mithra B
91/14, Prologue
91/57-64, Tarutaru Female A
91/121-92/0, Tarutaru Female B
91/49-56, Tarutaru Male A
91/113-120, Tarutaru Male B
176/74, Title (German)
119/50, Title (PC English)
91/16, Title (PC Japanese)
118/112, Title (PS2 English)
0/2, Title (PS2 Japanese)
178/13, Title (Spanish)
333/59-127;334/0-1;342/21-35;342/54-68;346/56-127;347/0-23;347/38-127;348/0-41;349/121-127;350/0-29;354/13-20, Tutorial
176/75, UI (German)
119/51, UI (PC English)
91/15, UI (PC Japanese)
118/111, UI (PS2 English)
0/1, UI (PS2 Japanese)
178/14, UI (Spanish)
0/14-21, Window
