285/39, Bastok Markets (S)
285/36, Batallia Downs (S)
285/44-45, Beadeaux (S)
285/63, Beaucedine Glacier (S)
195/94, Campaign Map
285/55-60, Castle Oztroja (S)
;285/65-68, Castle Zvahl Baileys (S)
285/69-72, Castle Zvahl Keep (S)
285/77-79, Crawlers' Nest (S)
285/33, East Ronfaure (S)
285/84-101, Everbloom Hollow
285/51-52, Fort Karugo-Narugo (S)
285/73-76, Garlaige Citadel (S)
285/118-127;286/0-7,Ghoyu's Reverie
285/41, Grauberg (S)
285/34, Jugner Forest (S)
285/37, La Vaule (S) / Davoi (S)
285/53, Meriphataud Mountains (S)
285/40, North Gustaberg (S)
285/42, Pashhow Marshlands (S)
285/43, Rolanberry Fields (S)
285/46-47;285/102-117, Ruhotz Silvermines
285/54, Sauromugue Champaign (S)
285/32, Southern San d'Oria (S)
285/80-82, The Eldieme Necropolis (S)
285/35, Vunkerl Inlet (S)
285/50, West Sarutabaruta (S)
285/48-49, Windurst Waters (S)
285/64, Xarcabard (S)

