92/101,Armoury Crate
1/130/119-120,Dynamis Orc Statue
1/130/121-122,Dynamis Quadav Statue
1/130/123-124,Dynamis Yagudo Statue
1/130/125-126,Dynamis Goblin Statue
136/15,Animated Longsword
136/16,Animated Knuckles
136/17,Animated Dagger
136/18,Animated Tabar
136/19,Animated Scythe
136/20,Animated Hammer
136/21,Animated Great Axe
136/22,Animated Claymore
136/23,Animated Spear
136/24,Animated Staff
136/25,Animated Kunai
136/26,Animated Tachi
136/27,Animated Longbow
136/28,Animated Gun
136/29,Animated Horn
152/48,Animated Shield
