0/49,Mandragora
0/51,Kam'lanaut
0/52,Jakoh Wahcondalo
0/53,Hume Male (Black Clothes)
13/4,Wyvern
16/9,Spheroid
16/10,Gilgamesh
16/11,Yve'noile
16/12,Illisory
16/13,Grav'iton
16/14,Shadow Lord (Head)
16/15,Semih Lafihna
16/17,Ark Angel GK
16/18,Ark Angel EV
16/19,Ark Angel HM
16/20,Ark Angel TT
16/21,Ark Angel MR
16/22-24,Mithra
16/27-29,Hume Male (White Clothes)
16/30-32,Hume Female (White Clothes)
22/8,Ark Angel HM (Battle)
22/9,Ark Angel EV (Battle)
22/10,Ark Angel MR (Battle)
22/11,Ark Angel TT (Battle)
22/12,Ark Angel GK (Battle)
22/13,Fenrir
22/20,Kam'lanaut (Battle)
22/23-84,Tonberry
22/85-99,Tonberry King
22/100-23/16,Antica
23/17-56,Sahagin
23/60-67,Dawnmaiden
23/68-70,Hume Male (Black Clothes)
23/71,Nomad Moogle
