0/61,Mildaurion
0/62,Tenzen
0/63,Cherukiki
0/64,Kukki-Chebukki
0/65,Makki-Chebukki
3/84-85,Flytrap
3/86-87,Antlion
3/88-89,Eft
3/90-91,Bugard
3/93,Ulmia
3/94,Prishe (Crown and Amulet)
3/95,Enigmatic Youth
3/96,Despachiaire
3/97,Elvaan Grandpa
3/98,Elvaan Grandma
5/12,Snoll
5/14,Bomb
5/15,Snoll
5/16,Cluster
5/18,Clot
5/23,Mammet
5/27-30,Memory Receptacle
5/31,Memory Receptacle (green)
5/32,Memory Receptacle (yellow)
5/33,Memory Receptacle (blue)
5/34,Memory Receptacle (red)
5/35-38,Wanderer
5/39-42,Weeper
5/53,Gorger
5/68,Diabolos
5/95-96,Diremite
5/97-98,Bugbear
5/99-100,Buffalo
5/101,Tauri
5/102-103,Uragnite
5/104,Corse
5/105,Hippogryph
5/106,Esha'ntarl
5/107,Nag'molada
5/108,Zilart
5/109,Hume Grandpa
5/110,Magicite
5/111,White box
5/112,Prishe (Crown)
5/114,Hume Grandpa
5/115-116,Hume Aunt
5/117,Prishe (Magicite)
7/36,Bahamut
7/37,Prishe (Amulet and Magicite)
7/53,Tiamat
7/55,Ouryu
7/57-64,Goblin
7/65-70,Moblin Roadman
7/71-78,Moblin
7/79-81,Moblin Groundman
7/82-92,Goblin
8/9,Thinker
8/10-13,Gorger
8/14-18,Craver
8/19,Yve'noile
8/20,Illisory
8/21,Grav'iton
8/22,Ark Angel GK
8/23,Ark Angel EV
8/24,Ark Angel HM
8/25,Ark Angel TT
8/26,Ark Angel MR
8/27,Bahamut
8/28,Prishe (Crown and Magicite)
8/29,Magic chains
9/28,Snoll
9/29,Cluster
9/30,Clot
9/31-33,Goblin
9/36,Wanderer
9/37,Weeper
9/38-41,Seether
9/43-46,Thinker
9/47-48,Gorger
9/49,Thinker
9/50,Gorger
9/51,Craver
9/52,Corse
9/53,Hippogryph
9/81-82,Ultima
9/83,Omega
9/84,Spheroid
9/85,Omega
9/86,Spheroid
10/27,Wyvern (Luminian)
10/28,Jormungand
10/29-32,Promathia
10/36,Hpemde
10/39,Phuabo
10/45,Ghrah
10/66-77,Aern
10/98-100,Hume Male (White Clothes)
10/101-103,Hume Female (White Clothes)
