1/107;109,Runic Lamp
1/117,Gordeus
1/118,Picture
1/119,Gordeus
1/121-122,Alexander Spec Map
1/123,Aht Urhgan Bed
1/124,Strange Chest
2/5,Raillefal
2/6,Naja Salaheem
2/7,Razfahd
2/8,Gessho
2/9,Wasuhd
2/10-11,Automaton
2/12,Ghatsad
2/13,Qultada
2/14,Aphmau (White)
2/15,Ovjang
2/16,Aphmau (Red/Orange)
2/17,Mithra Bard
2/18,Seagull Phratrie Crewmember
2/19,Soulflayer Tentacles
2/20,Prince Luzaf
2/21,Mnejing
2/22,Hume Female
2/23,Hume Male
2/24,Naja Salaheem (Glory Crown)
2/25,Archaic Mirror (Mamook)
2/26,Archaic Mirror (Arrapago Reef)
2/27,Archaic Mirror (Halvung)
2/53,Qiqirn
2/56,Beseiged Mamool
2/57,Beseiged Wivre
2/58,Naja Salaheem (Shades)
2/59,Broken Bow
2/60,Ovjang
2/61,Razfahd (Black)
2/63,Mnejing
2/64,Aphmau (White)
2/65,Arrow
6/51,Aht Urhgan Flag
6/52,Chocobo Racing Sign
7/114,Ziz
7/116,Jnun
7/117-119,Karakul
7/120,Bhoot
7/121,Ameretat
7/122,Eruca
7/123,Dahak
7/124-126;20-21,Mamool Ja
8/35,Gotoh Zha the Redolent
8/36-39,Lamia
8/60,Experimental Lamia
8/61-63;73-75,Merrow
8/64-69,Lamia/Merrow weapon
8/76-78,Troll
8/100,Khromasoul Bhurborlor
8/101-102;115,Troll
8/116,Colibri
8/117,Yalungur
8/119-121,Apkallu
8/122-123,Imp
8/124,Vanasarvik
8/125,Orobon
9/0,Qutrub
9/1-2,Qutrub Weapon
9/3-4,Qiqirn
9/6,Marid
9/12,Puk
9/15,Chigoe
9/18-37,Draugar
9/42,Qutrub
9/44,Soulflayer
9/47,Acrolith
9/49,Mamool Ja Hussar
9/52,Troll Destroyer
9/55,Wivre
9/58,Qiqirn Mine
9/59,Cerberus
9/65-67,Flan
9/72-73,Khimaira
9/77,Poroggo
9/78,Frog
9/79,Poroggo Madame
9/84,Rampart
9/97,Odin Image
9/100,Alexander
9/101,Alexander Image
10/1,Gulool Ja Ja
10/3,Medusa
10/5,Gurfurlur the Menacing
10/7-8,Wooden Barricade
