5/83-84,Gnat
5/86,Peiste
5/87,Sibilus
5/89,Ladybug
5/92-93,Slug
5/95-97,Rafflesia
5/98-100,Sandworm
6/3,Pixie
6/5,Dark Pixie
6/6-7,Gnole
6/9-42,Orc
6/45,Bloodcrown Brradhod
6/46,Darkheir Grradhod
6/47-48,Orc
6/49-68;74,Yagudo
6/85,Tzee Xicu the Manifest
6/86,Soo Luma the Ascended
6/87-88,Yagudo
6/89-103,Quadav
6/125,Za'Dha Adamantking
6/126,Za'Dha Adamantking
6/127;7/0,Quadav
7/1,Atomos
7/4,Cait Sith (Battle)
7/7,Orc Siege Turret
7/10,Yagudo Siege Turret
7/13,Quadav Siege Turret
7/16,Shadow Lord (Battle)
7/17,Shadow Lord
7/22,Degenhard (Battle)
7/23,Lilisette (Battle)
7/25,Volker (Battle)
7/26,Excenmille (Battle)
7/29,Unknown Samurai (Battle)
7/32,Lehko Habhoka (Battle)
7/33,Karaha-Baruha (Battle)
7/34,Lady Lilith (Battle)
7/35,Lilith Ascendant
8/18,Lycopodium
8/19,Smilodon
8/20,Funguar
8/21,Perih Vashai
8/22,Ajido-Marujido
8/23,Volker
8/24,Gumbah
8/25,Excenmille
8/26,Cait Sith
8/30,Rahal
8/31,Rholont
8/32,Klara
8/33,Altennia
8/34,Arrow
8/35,Romaa Mihgo
8/36,Ghyo Molkot
8/37,Fishing Pole
8/38-39,Cobra Unit
8/42,Blue Ball
8/43,Lantern
8/44,Scholar Hat
8/46,Envelope
8/47,Lehko Habhoka
8/48,Haudrale
8/49,Aquila
8/50,Lilisette
8/51-52,Elvaan Male
8/53,Jambiya
8/54,Ticket
8/55-57,Galka
8/58,Riautte
8/59,Mithra
8/60,Lady Lilith
8/65,Grenades
8/67,Noillurie
8/68,Elvaan Female
8/69,Elvaan Male
8/70,Larzos
8/72,Volker (Armor)
8/73,Altennia (Polearm)
8/74,Altennia (Sword and Xbow)
8/75,Nhev Befrathi
8/76,Helm
8/77,Karaha-Baruha (Book)
8/78,Zeid
8/81,San D'oria Banner
8/82,Bastok Banner
8/83,Windurst Banner
8/84,Beastmen Banner
8/85,Belfry
8/86,obj_
8/87,Beastmen Pole
8/88,obj_
8/89,obj_
8/90,obj_
8/91,Beastmen Pole
8/92-93,Veridical Conflux
8/98,Mantelet
8/99,Beastmen Mantelet
8/100,Belfry
8/103-104;106-111,M.M.M. Workshop
8/113,Phosphorous Ward
8/114,Seat
9/35,Colibri
9/36,Malboro
9/37-38,Chigoe
9/39,Wivre
9/40-41,Pudding
9/42-43,Imp
9/44,Poroggo Prince
9/45,Frog
9/46,Poroggo Madame
9/47,Hippogryph
9/48,Lizard
9/49,Scolopendrid
9/50,Djinn
9/51,Wyvern
9/52,Lynx
