0/1, Orc
0/28, Bztavians
0/33, Rockfins
0/38, Yggdreants
0/43, Gabbraths
0/48, Velkk (with sword)
0/53, Velkk (with wand)
0/58, Leafkin
0/63, Twitherym (Pink)
0/64, Twitherym (Brown)
0/68, 0/68?
0/73, Chapuli (Green)
0/74, Chapuli (Gold)
0/78, Pitcherplant
0/83, Craklaw (Blue)
0/84, Craklaw (Black)
0/88, Matamata
0/89, Matamata (Peach)
0/98, Aceux 
0/99, Aceux Pink
0/103, Heartwing
0/108, Waktza
0/113, Cehuetzi
0/118, Velkk (with warhammer)
0/123, Tulfaire
1/0, Raaz
1/63, Sheep (Orange)
1/64, Ram  (Orange)
1/66, Poroggo
1/70, Arciela
1/100, Arciela
1/101, Riana
1/102, Heartwing
1/103, Melvien de Malecroix
1/104, Pitcherplant
1/105, Vortimere
1/106, Leafkin
1/107, Twitherym (Gray)
1/108, Hume F NPC
1/109, Svenja
1/110, Teodor
1/111, Hume M NPC
1/112, Berghent
1/113, Galka NPC
1/114, Mithra NPC
1/115, Mithra NPC
1/116, Hume F NPC (Maid)
1/117, Hume F NPC (Maid)
1/118, Greenith
1/119, Hume M NPC
1/120, Galka NPC
1/121, Mithra NPC
1/122, Susuroon (Fishing)
1/123, Susuroon (Watercan)
1/124, Grass reed thing?
1/125, Kuyin Hathdenna (Watercan)
1/126, Kuyin Hathdenna (Watercan 2)
1/127, Kuyin Hathdenna (Gardenin?)
2/0, Elvaan M NPC
2/1, Leafkin (Princess Leia)
2/2, Mithra NPC
2/3, Mithra NPC
2/4, Hume F NPC
2/5, Hume M NPC
2/6, Leafkin
2/7, Cehuetzi
2/9, Velkk (Sword)
2/10, Velkk (Wand)
2/47, Mushroom?
2/48, Leaf thing?
7/77, Umbril
2/11-13, unknown
2/47-55, unknown
2/70-100, unknown
