1/3/56;1/142/102;1/239/65;1/257/71;1/259/0;1/302/65;1/216/5-6;1/355/64;1/313/36;7/0/7-14;1/316/88;2/23/71;1/353/3;1/355/55,Moogle
1/5/66-67;1/172/73;5/7/7-13,Orcish Warmachine
1/148/106,Goblin on Chocobo
1/165/88;1/357/18;4/2/10-11;4/2/68-70,Automaton
1/216/42;1/168/22-23;1/169/42-45,Chocobo Breeding
1/258/99-100,Archaic Gears
1/258/101-105,Chariot
1/309/1,Sleipnir
1/309/5;1/309/8;1/313/67-68;1/313/71-72,Spriggan
1/318/23;1/353/0;1/320/103;1/325/113;1/326/71;1/328/83;1/328/84;1/334/65;1/334/66;1/334/67;1/341/44;1/348/44,Monster Rearing
3/5/31,Memory Receptacle
3/5/32,Memory Receptacle
3/5/33,Memory Receptacle
4/9/84;4/12/115,Archaic Rampart
4/9/97;4/12/119,Odin Image
4/9/101;4/12/123,Alexander Image
4/12/104,Qiqirn Mine
151/29,Blue Jewel Necklace
151/30,Bigger Blue Jewel Necklace
156/110,Sea Quasilumin
172/66,Time Bomb
262/101,Sea Quasilumin
301/95,Gutrab
304/109,Ninja Crab
306/65,Gnat
314/83,Kiokudama (Blue Ball)
363/110,Red Tipped Korrigan
363/111,Yellow Tipped Korrigan
363/112,Pink Mandy
363/113,Watermelon Mandy
371/56-57,Apex Archaic Gears
