1/3/51,Two of Cups
1/97/64,Animations: 34 various
1/128/79;1/148/103-105;1/170/60-62,New Year's Festival
1/128/81-88;1/148/93-100,Starlight Celebration
1/130/95-107,The Doll Festival
1/142/93,Red Fireworks Spout
1/156/33-40,Sunbreeze Festival
1/156/51-53;1/156/84-86,Harvest Festival
1/156/120-121,Tarutaru Dancers
1/170/57-59,Egg Hunt Festival
1/284/14,Fantastic Fraulein Mumor v1
1/286/110,Fantastic Fraulein Mumor v2
1/309/3,Horro from Dragon Quest
1/354/11,Ullegore Minion
1/335/85,Heroine Mumor 
1/351/106,Blue Vertical Lightbeam
1/370/88,White Levin (Glow Effects)
