1/74/22,Pile of Chocobo Bedding m_be
1/74/23,Simple Bed m_be
1/74/24,Oak Bed m_be
1/74/25,Mahogany Bed m_be
1/74/26,Bronze Bed m_be
1/74/27,Noble's Bed m_be
1/74/28,Marble Bed m_be
1/74/29,Royal Bed m_be
1/74/42,Desk m_ds
1/74/43,Workbench m_ds
1/74/44,Maple Table m_ds
1/74/45,Oak Table m_ds
1/74/47,Tarutaru Desk m_ds
1/74/49,Drawing Desk m_ds
1/74/50,Secretaire m_ds
1/74/51,Bureau m_ds
1/74/53,Dresser m_ds
1/74/54,Millionaire Desk m_ds
1/74/64,Wicker Box m_cs
1/74/67,Armor Box m_cs
1/74/70,Coffer m_cs
1/74/72,Chest m_cs
1/74/75,Chocobo Commode m_cs
1/74/76,Cabinet m_cs
1/74/77,Commode m_cs
1/74/78,Cupboard m_cs
1/74/80,Chiffonier m_cs
1/74/82,Armoire m_cs
1/74/97,Royal Bookshelf m_sl
1/74/98,Bookshelf m_sl
1/74/108,Kadomatsu m_ob
1/74/109,Timepiece m_ob
1/74/110,Wastebasket m_ob
1/74/111,Rusty Bucket m_ob
1/74/112,Blue Pitcher m_ob
1/74/113,Tarutaru Stool m_ob
1/74/114,Water Cask m_ob
1/74/115,Cool Vase(Unidentified) m_ob
1/74/116,Water Barrel m_ob
1/74/117,Beverage Barrel m_ob
1/74/118,Book Holder m_ob
1/74/119,Scimitar Cactus m_ob
1/74/120,Elshimo Palm m_ob
1/74/121,Okadomatsu m_ob
1/74/123,Flower Stand m_ob
1/74/124,Goldfish Bowl m_ob
1/74/125,Tarutaru folding screen  m_ob
1/74/126,Sky Pot m_ob
1/74/127,Red Jar m_ob
1/75/0,Water Jug m_ob
1/75/1,Odd Jug (Unknown) m_ob
1/75/2,Urn  m_ob
1/75/3,White Jar m_ob
1/75/4,Green Jar (Not Available) m_ob
1/75/5,Yellow Jar m_ob
1/75/6,Cleaning Tool Set m_ob
1/75/7,My First Magic Kit m_ob
1/75/8,Bastokan Tree m_ob
1/75/9,Windurstian Holiday Tree m_ob
1/75/10,Wing Egg m_ob
1/75/11,Lamp Egg m_ob
1/75/12,Flower Egg m_ob
1/75/13,Freshwater Aquarium m_ob
1/75/14,Saltwater Aquarium m_ob
1/75/15,Amir Bed m_ob
1/75/16,Athenienne m_ob
1/75/17,Wardrobe m_ob
1/75/18,Reliquary m_ob
1/75/19,Falsiam Vase m_ob
1/75/20,Coffee Table m_ob
1/75/21,Console m_ob
1/75/22,Imperial Standard m_ob
1/75/23,Marble Bed m_ob
1/75/24,Stationery Set m_fg
1/75/25,Tableware Set m_fg
1/75/26,Tea Set m_fg
1/75/27,Copy of "Emeralda" m_fg
1/75/28,Magic Tome Set m_fg
1/75/29,Set of Kaiserin Cosmetics m_fg
1/75/30,Cordon Bleu Cooking Set m_fg
1/75/31,Jeunoan Tree m_fg
1/75/32,Star Globe  m_fg
1/75/33,Dream Platter m_fg
1/75/34,Dream Coffer m_fg
1/75/35,Drogaroga's Fang m_fg
1/75/36,Ngoma m_fg
1/75/37,Caisson m_fg
1/75/38,Thurible m_fg
1/75/39,Walahra Burner m_fg
1/75/40,Imperial Tapestry m_fg
1/75/41,Cartonnier m_fg
1/75/42,Set of Alchemist's Tools m_fg
1/75/43,Leather Pot m_fg
1/75/44,Stack of Fool's Gold m_fg
1/75/45,Flowerpot (Unavailable in Game) m_fg
1/75/46,Mastersmith Anvil m_fg
1/75/47,Miniature Airship m_fg
1/75/48,Dream Stocking m_fg
1/75/49-63,Mog Garden Furrows(Non Furnishing) m_fg
1/75/64-68,Magicite Columns (Non Furnishing) m_fg
1/75/69,Snowman Knight m_fg
1/75/70,Snowman Miner m_fg
1/75/71,Snowman Mage m_fg
1/75/72,Jeweled Egg m_fg
1/75/73,Bonbori m_fg
1/75/74,San d'Orian Flag m_wa
1/75/75,Bastokan Flag m_wa
1/75/76,Windurstian Flag m_wa
1/75/77,Jeunoan Flag m_wa
1/75/78,Rook Banner m_wa
1/75/79,Shield Plaque m_wa
1/75/80,Buckler Plaque m_wa
1/75/81,Copy of "Acolyte's Grief" m_wa
1/75/82,Copy of "Autumn's End In Gustaberg" m_wa
1/75/83,Copy of "Lines and Space" m_wa
1/75/84,Fishing Hole Map m_wa
1/75/85,Copy of "Hoary Spire" m_wa
1/75/86,Adventuring Certificate m_wa
1/75/87,Blacksmith's Plaque m_wa
1/75/88,Stuffed "Big One" m_wa
1/75/89,Melodious Egg m_wa
1/75/90,Clockwork Egg m_wa
1/75/91,Gilt Tapestry m_wa
1/75/92,Hatchling Egg m_wa
1/75/93,Tsahyan Mask m_wa
1/75/94,Totem Pole m_wa
1/75/95,Golden Fleece m_wa
1/75/96,Bomb Lantern m_wa
1/75/97,Pumpkin Lantern m_wa
1/75/98,Mandragora Lantern m_wa
1/75/99,Copy of "Ancient Blood" m_wa
1/75/100,Fire Lamp m_wa
1/75/101,Ice Lamp m_wa
1/75/102,Wind Lamp m_wa
1/75/103,Earth Lamp m_wa
1/75/104,Lightning Lamp m_wa
1/75/105,Water Lamp m_wa
1/75/106,Light Lamp m_wa
1/75/107,Dark Lamp m_wa
1/75/108,Set of Festival Dolls m_wa
1/75/109,Porcelain Flowerpot m_po
1/75/110,Brass Flowerpot m_po
1/75/111,Earthen Flowerpot m_po
1/75/112,Ceramic Flowerpot m_po
1/75/113,Wooden Flowerpot m_po
1/75/114,Arcane Flowerpot m_po
1/75/115,Fighting Fish Tank m_po
1/75/116,River Aquarium m_po
1/75/117,Bay Aquarium m_po
1/75/118,Reef Aquarium m_po
1/75/119-127;1/76/0-10,Various Plants(Non Furnishing) m_pl
1/76/11,Blackhorn m_sp
1/76/12,Stripehorn m_sp
1/76/13,Whitehorn m_sp
1/168/122,Yellow VCS Plaque m_ch
1/168/123,Black VCS Plaque m_ch
1/168/124,Red VCS Plaque m_ch
1/168/125,Blue VCS Plaque m_ch
1/168/126,Green VCS Plaque m_ch
1/168/127,9-Drawer Almirah m_bo
1/169/0,6-Drawer Almirah m_bo
1/169/1,3-Drawer Almirah m_bo
1/170/60;Advanced Sprig of Red Bamboo Grass
1/170/61,Advanced Sprig of Blue Bamboo Grass
1/170/62,Advanced Sprig of Green Bamboo Grass
1/171/40,Crystal Stakes Gold Cup m_ch
1/171/41,Crystal Stakes Mythril Cup m_ch
1/171/42,Crystal Stakes Bronze Cup m_ch
1/171/44,Mythril Trophy m_ch
1/171/45,Bronze Trophy m_ch
1/184/105,Bronze Rose
1/184/106,Crystal Rose
1/184/107,Shell Lamp
1/184/108,Harpsichord
1/184/109,Mythril Bell
1/184/110;Sprig of Red Bamboo Grass
1/184/111,Sprig of Blue Bamboo Grass
1/184/112,Sprig of Green Bamboo Grass
1/187/43,Yellow Hobby Bo m_ch
1/187/44,Red Hobby Bo m_ch
1/187/45,Black Hobby Bo m_ch
1/187/46,Blue Hobby Bo m_ch
1/187/47,Green Hobby Bo m_ch
1/196/76,Winged Altar m_me
1/196/77,Winged Plaque m_me
1/196/78,Winged Balance m_me
1/196/79,Blacksmith's Signboard m_gi
1/196/80,Goldsmith's Signboard m_gi
1/196/81,Boneworker's Signboard m_gi
1/196/82,Weaver's Signboard m_gi
1/196/83,Culinarian's Signboard m_gi
1/196/84,Tanner's Signboard m_gi
1/196/85,Fisherman's Signboard m_gi
1/196/86,Carpenter's Signboard m_gi
1/196/87,Alchemist's Signboard m_gi
1/198/21,Royal Squire's Bunk m_be
1/198/22,Republican Legionnaire's bedding m_be
1/198/23,Federal Mercenary's hammock m_be
1/198/24,Partition m_wo
1/198/25,Credenza m_wo
1/198/26,Bahut m_wo
1/198/27,Matka m_wo
1/198/28,Gallipot m_wo
1/198/29,Fluoro-flora m_wo
1/198/30,Amigo Cactus m_wo
1/198/31,Amiga Cactus m_wo
1/198/35,San d'Orian Marriage Certificate m_wa
1/198/36,Bastokan Marriage Certificate m_wa
1/198/37,Windurstian Marriage Certificate m_wa
1/203/103,Horn Trophy m_gi
1/203/104,San d'Orian Tea Set m_ev
1/203/105,Bastokan Tea Set m_ev
1/203/106,Windurstian Tea Set m_ev
1/203/107,Parclose m_wo
1/203/108,CS Gold Stand m_ch
1/203/109,CS Mythril Stand m_ch
1/203/110,CS Bronze Stand m_ch
1/213/70,Aldebaran Horn m_gi
1/213/110,Blue 9-Drawer Almirah m_bo
1/213/111,Blue 6-Drawer Almirah m_bo
1/213/112,Blue 3-Drawer Almirah m_bo
1/213/113,Green 9-Drawer Almirah m_bo
1/213/114,Green 6-Drawer Almirah m_bo
1/213/115,Green 3-Drawer Almirah m_bo
1/213/116,Yellow 9-Drawer Almirah m_bo
1/213/117,Yellow 6-Drawer Almirah m_bo
1/213/118,Yellow 3-Drawer Almirah m_bo
1/213/119,White 9-Drawer Almirah m_bo
1/213/120,White 6-Drawer Almirah m_bo
1/213/121,White 3-Drawer Almirah m_bo
1/216/30,Harp Stool m_gi
1/216/31,Red Round Table m_ds
