abyssea,Abyssea
sea,Al'Taieu
trusts,Alter Egos
amorphs,Amorphs
aquans,Aquans
arcana,Arcana
automaton,Automaton
avatars,Avatars
baby_monsters,Baby Monsters
beastmen,Beastmen
beasts,Beasts
birds,Birds
chairs,Chairs
chocobos,Chocobos
demons,Demons
dragons,Dragons
dynamis,Dynamis
elementals,Elementals
events,Event NPCs/Objects
ff14_monsters,FFXIV Monsters
fishing,Fishing
gears,Gears
limbus,Limbus
lizards,Lizards
mandragoras,Mandragoras
moogles,Moogles
mounts,Mounts
naakuals,Naakuals
objects,Rare Objects and Furnishings
odyssey,Odyssey Bosses
peculiar_foes,Peculiar Foes
plantoids,Plantoids
primary_npc,Primary NPC
empty,Promyvion
gods,Supreme Beings
secondary_npc,Secondary NPC
sortie,Sortie
unclassified,Unclassified
undead,Undead
vermin,Vermin
