3/56;216/5,Basic Moogle
1/355/64,Moogle with a Green Jacket 
216/6;1/142/102,Wild Moogle
1/239/65,Magian Moogle with Orange Puffball
1/257/71,Magian Moogle with Blue Puffball
1/259/0,Magian Moogle with Green Puffball
1/302/65,Magian Moogle with White Puffball
1/313/36,Moogle Camera Dood (Unused)
7/0/7,Moogle Crime Boss #1
7/0/8,Big Moogle Crime Boss
7/0/9,Moogle with a Green Jacket 
7/0/10,Lady Moogle
7/0/11,Moogle with a Bandage 
7/0/12,Moogle Henchman 
7/0/13,Moogle Henchman 
7/0/14,Big Moogle Crime Boss with Powers
1/316/88,Moogle with a Green Jacket 
2/23/71,Wild Moogle
1/353/3,Big Moogle Crime Boss
1/355/55,Moogle with a Purple Jacket
