1/3/60-63;1/3/103;1/90/56;1/204/1;1/211/25;1/306/46,Chocobo Companion
1/351/100-101;1/351/104,Raptor Companion
1/351/102,Tiger Companion
1/351/103,Crab Companion
1/351/124,Red Crab Companion
1/352/24,Bomb Companion
1/352/25,Ram Companion
1/352/26,Morbol Companion
1/352/113,Crawler Companion
1/352/114,Fenrir Companion
1/353/29,Beetle Companion
1/353/30,Moogle Companion
1/353/31,Magic Pot Companion
1/353/64,Tulfaire Companion
1/353/73,Warmachine Companion
1/353/118,Xzomit Companion
1/354/91,Hippogryph Companion
1/354/93,Spectral Chair Companion
1/355/26,Spheroid Companion
1/355/56,Omega Companion
1/355/110,Coeurl Companion
1/358/96,Goobbue Companion
1/358/125,Raaz Companion
1/360/11,Levitus
1/361/61,Adamantoise Companion
1/362/17,Dhalmel Companion
1/363/60,Doll Companion
1/364/3,Gold Bomb
1/375/105,Ixion Companion
1/376/37,Phuabo Companion
1/383/22,Crakclaw Companion
1/384/108,Alicorn Companion
1/384/109,Bubble Crab Companion


,Buffalo Companion
,Wivre Companion
,Red Raptor Companion
,Iron Giant Companion
,Byakko Companion
,Noble Chocobo Companion
