1/3/30,Platform
1/7/95-98,Signet Banner
1/7/109-110,Iron Fence
1/8/113;1/97/9;1/220/40;1/92/102;1/97/11;1/174/64;1/97/10;1/184/21;1/220/41;1/241/92-93;1/286/103,Chest
1/50/86;1/92/103;1/99/54,Doll
1/123/11;1/359/26,Eald'narche's Throne
1/136/9-11;1/154/107,Ballista Tower
1/142/101,Open Book
142/100,Shattered Telepoint
151/84,Enigmatic Sphere
1/154/110-111,P1athia's Chains
157/56,Dimensional Portal
158/9,Sparkles on the Ground
1/161/3,Furnace
1/168/21,Egg
1/184/39-42,Chocobo Racing
1/188/70,Synergy Furnace
1/191/4-5,Cavernous Maw
204/0,Chocobo Race Line
1/202/45-46;1/326/57;9/2/82;9/2/100,Book
1/202/47,Chess Board
1/216/7,Letter
1/216/8;9/2/72,Parchment
1/216/83;1/220/81-83;1/222/33;1/227/45-46;1/257/66-70;1/263/75;1/301/96-98;1/304/111;1/304/113;1/306/117,Statue
1/217/32;1/230/105;1/308/91,Floating Book
1/218/91-92,Crate
1/218/108;5/8/103-104;5/8/106-111;5/8/114,Meeble Burrow
1/218/118,Cardian Statue
221/127,Fishing Rod
222/24,Seed Afterglow
225/11,Red Bow
1/225/12,Big Curved Horn
1/240/56,Map Table
1/240/111;5/8/92-93,Conflux
261/45-46,Wedding Misc
267/58,Provenance Crystal
288/107;9/2/55;9/2/61,Waypoint
306/52,Odyssean Passage
311/33;9/2/56,Boat
311/39-40,Fruit Basket
317/117,Harvesting Point
317/118,Logging Point
317/119,Excavation Point
320/102,Atomos Statue
321/64,Stool
326/64;2/1/44,Ifrit Statue
326/27,Portal on da Ground
333/35,Undulating Confluence
262/101,Sea Quasilumin #1
156/110,Sea Quasilumin #2
333/58,Eschan Portal #1
1/337/33,Tenzen's Sword
334/2,Floating Handbell
343/15,Ethereal Ingress #1
343/19,Swirling Vortex Entrance
1/370/88,White Levin (Glow Effects)
2/16/14,Shadow Lord's Head
2/63;5/8/34;5/8/53;9/2/73;9/2/83;9/2/107-108,Weapon
3/5/27,P1yvion Structure
3/5/28,P1yvion Thingy
3/5/110-111,Magicite
3/8/29,Wyrmking Binding
3/29,Telepoint
4/1/107;4/1/109,Lamp
4/1/108,Assault Clear
4/1/118;9/2/70,Painting
4/1/119,Astral Candescence
4/1/121-122,Alexander Projection
4/1/123;9/2/88,Bed
4/1/124,Portable Chest
4/2/19,Tongue
4/2/25-27,Archaic Mirror
4/2/54,Weapon: Algol
4/2/62,Empress Crown
4/10/7-8;4/13/8-9,Barricade
5/8/42,Orb
5/8/43,Lantern
5/8/44,Mortarboard
5/8/65,Bolts
5/8/76,Helm
5/8/81-84,Campaign Banners
5/8/85;5/8/87;5/8/91;5/8/100,Campaign Banner
5/8/90,Ethereal Spout
5/8/98-99,Biouvac
6/0/12,Crystal
6/0/18,Seed Fragment
9/1/76,Random Animations
9/2/47-48;9/2/76;9/2/101,Plant
9/2/49,Rock
9/2/50,Tent
9/2/51,Fence
9/2/52-54;9/2/77;9/2/78;9/2/86-87,Lair Reive
9/2/57,Partition
9/2/58,Chair
9/2/59,Raft
9/2/60,Tree
9/2/63-64,Goblet
9/2/74,Geomancers Helmet
9/2/78,Giant Rafflesia
9/2/79,Wooden Bench
9/2/80,Mineral
9/2/84,Pendant
9/2/85,Banner
9/2/89,Arciela's Bonnet
9/2/90-94,Gargouille Statue
9/2/95-96;9/2/98-99;9/2/102;9/2/106,Ra'Kaznar Structures
9/2/103-104,Misc
9/2/109,Arciela's Skirt
9/2/110-111,Balmora's Pole

