1/3/34;1/286/112;1/341/100;1/346/51,Lion
1/3/35;1/123/12;1/123/10;1/159/82,Eald'narche
1/3/36;1/217/60;1/97/75;1/159/83,Kam'lanaut
1/3/37,Cid
1/3/38;1/125/75;1/341/109;4/2/5,Prince Trion
1/3/39,Prince Pieuje
1/3/40,Princess Claidie
1/3/41;1/7/114,King Destin
1/3/42,Shamonde
1/3/43;1/341/110,Curilla
1/3/44,Cornelia
1/3/45,President Karst
1/3/46,Gumbah
1/3/47,Dark Messenger
1/3/48;1/3/123;1/125/76;1/341/112,Ajido-Marujido
1/3/49;1/341/113,The Star Sybil
1/3/50;1/95/69,Perih Vashai
1/3/52;1/341/105,Aldo
1/3/53,Verena
1/3/55;1/125/74;1/341/108;5/8/72,Volker
1/3/100;1/128/80;1/341/106,Maat
1/4/8,Tosuka-Porika
1/4/9,Zonpa-Zippa
1/4/10,Apururu
1/4/11,Rukususu
1/4/95;1/341/114;2/16/15,Semih Lafihna
1/4/96,Nanaa Mihgo
1/7/80-81,The Shadow Lord
1/7/87,Monberaux
1/7/111;1/7/115;1/125/72-73;1/341/107;5/8/78,Zeid
1/8/75;5/7/33;5/8/77,Karaha-Baruha
1/97/88,King Ranperre
1/150/14;3/0/65,Makki-Chebukki
1/151/28;3/5/107,Nag'molada
1/151/126;1/286/96,Tenzen
1/156/32,Selh'teus
1/156/25;3/5/112;1/261/57;1/341/101;1/346/52;3/3/94;3/5/117;3/8/28,Prishe
1/191/3,Laila
1/123/7,Eald'narche
1/123/8,Eald'narche Exoplates
1/238/59;5/7/34;5/8/60,Lady Lilith
1/240/110,Black Portal
1/241/94;5/7/25;5/8/23,Volker (S)
1/259/36,Portia
1/259/81,Degenhard
1/282/116;2/16/19;3/8/24,Ark Angel HM
1/282/117;2/16/18;3/8/23,Ark Angel EV
1/282/118;2/16/21;3/8/26,Ark Angel MR
1/282/119;2/16/20;3/8/25,Ark Angel TT
1/282/120;2/16/17;3/8/22,Ark Angel GK
1/286/95;3/8/19,Yve'noile
1/286/97;1/320/79;1/341/103;1/346/54;5/7/36;5/8/50,Lilisette
1/286/98;5/7/26,Excenmille (S)
1/286/99,Klara
1/286/100;5/7/32,Lehko Habhoka
1/286/104;1/341/116;4/2/60,Ovjang
1/286/105;1/341/117;4/2/21;4/2/63,Mnejing
1/286/107;1/341/115;2/16/10,Gilgamesh
1/286/108;1/341/118;4/2/20,Luzaf
1/286/109;1/341/119;3/3/93,Ulmia
1/286/111;1/341/102;1/346/53;4/2/14;4/2/16;4/2/64,Nashmeira
1/311/34-35,Susuroon
1/311/36-38,Kuyin Hathdenna
9/1/125-127,Kurin Hathdenna Additional
1/318/22;1/353/2,Chacharoon
1/328/77;1/335/84;1/343/3;1/343/4;1/343/16,Iroha
1/341/111;8/0/1;8/0/0;8/0/63,Shantotto
1/363/109,Mandragora Assistant
1/369/6-7,Prince Trion (TVR)
1/364/66,Galka dressed in Goblin Gear
1/365/24,Apururu
1/364/99,Magh Bihu
1/371/115,Magh Bihu
1/371/118,Magh Bihu
1/372/59,Maat on the Warpath
1/373/55,Volker
1/373/56,Zeid

1/377/107,Luzaf with Ethereal Sword + Ethereal Dagger + Ethereal Gun
1/377/108,Garazu-Horeizu
1/377/109,Medada
1/377/110,Portia with Ethereal Fists
1/377/111,Sir Ragelise with Ethereal Sword
1/377/112,Lehko Habhoka with Ethereal Dagger
1/377/113,Fickblix with Ethereal Gun

2/0/52,Jakoh Wahcondalo
2/16/12;3/8/20,Illisory
2/16/13;3/8/21,Grav'iton

3/0/63,Cherukiki
3/0/64,Kukki-Chebukki
3/3/95;1/152/61;1/156/50;1/342/3,Selt'heus
3/3/96,Despachiaire
3/5/106;1/261/56,Mildaurion

4/2/6;4/2/24;4/2/58,Naja Salaheem
4/2/7;4/2/61,Razfahd
4/2/8,Gessho
4/2/9,Wasuhd
4/2/12,Ghatsad
4/2/13,Qultada
4/2/15,Ovjang (Alternate)
4/2/53,Liliroon

5/7/16-17,The Shadow Lord (S)
5/7/35,Lilith Ascended
5/8/21,Perih Vashai (S)
5/8/22,Ajido-Marujido (S)
5/8/24,Gumbah (S)
5/8/30,Rahal
5/8/31,Rholont
5/8/33;5/8/73-74,Altennia
5/8/35,1aa Mihgo
5/8/36,Ghyo Molkot
5/8/48,Haudrale
5/8/49,Aquila
5/8/58,Riautte
5/8/67,Noillurie
5/8/70,Larzos
5/8/75,Nhev Befrathi

6/0/11,Young Aldo

9/1/15;9/2/1,Rosulatia
9/1/35;9/2/12,Sajj'aka
9/1/62;9/2/8;9/2/16;9/2/22;9/2/24,Darrcuiln
9/1/71;9/2/13,Morimar
9/1/72;9/1/110;9/2/21,Teodor
9/1/75;9/2/5,August
9/1/100,Arciela (Non-Combatant)
9/1/70;9/1/78;1/341/104;1/346/55,Arciela
9/1/101,Tiana
9/1/103,Melvien de Malecroix
9/1/105,Vortimere
9/1/106;9/2/6,Ygnas
9/1/108-109,Svenja
9/1/112,Berghent
9/1/114-115,Lhe Lhangavo
9/1/116,Fremilla
9/1/117,Cynthia
9/1/118,Grennith
9/2/0,Alaixion
9/2/1,Rosulatia
9/2/2-3,Ikhi Askamot
9/2/4;9/2/11,Ingrid
9/2/16,Arciela and Ygnas riding Darrcuiln
9/2/24,Ygnas riding Darrcuiln
