@zones_abyssea (XIData Recovered)
240/106,Abyssea - Konschtat
240/107,Abyssea - Tahrongi
240/108,Abyssea - La Theine
254/7,Abyssea - Attohwa
254/8,Abyssea - Misareaux
254/9,Abyssea - Vunkerl
258/110,Abyssea - Altepa
258/111,Abyssea - Uleguerand
258/112,Abyssea - Grauberg
258/113,Abyssea - Empyreal Paradox

@zones_base_game (XIData Recovered)
0/115,La Theine Plateau
0/120,West Ronfaure
0/121,East Ronfaure
1/14,King Ranperres Tomb
0/123,North Gustaberg
0/124,South Gustaberg
0/127,West Sarutabaruta
1/0,East Sarutabaruta
1/31,Southern San dOria
1/32,Northern San dOria
0/78,Windurst Waters
0/79,Windurst Walls
0/81,Windurst Woods
1/38,Heavens Tower
0/80,Port Windurst
1/34,Bastok Mines
1/35,Bastok Markets
1/36,Port Bastok
1/37,Metalworks
1/40,Upper Jeuno
1/41,Lower Jeuno
1/42,Port Jeuno
1/39,RuLude Gardens
1/24,Ship bound for Selbina
1/25,Ship bound for Mhaura
1/29,Ship bound for Selbina
1/30,Ship bound for Mhaura
1/26,San dOria-Jeuno Airship
1/27,Bastok-Jeuno Airship
1/28,Windurst-Jeuno Airship
1/1,Tahrongi Canyon
0/114,Jugner Forest
0/122,Batallia Downs
0/90,Konschtat Highlands
0/125,Pashhow Marshlands
0/126,Rolanberry Fields
0/72,Beaucedine Glacier
0/71,Buburimu Peninsula
1/2,Sauromugue Champaign
1/3,Behemoths Dominion
1/4,Mordion Gaol
1/6,Horlais Peak
1/7,Fort Ghelsba
1/8,Yughott Grotto
0/88,Palborough Mines
0/89,Waughroon Shrine
1/9,Upper Delkfutts Tower
1/13,Lower Delkfutts Tower
0/73,Castle Zvahl Keep
0/74,Throne Room
1/10,Ranguemont Pass
0/108,Bostaunieux Oubliette
1/11,Zeruhn Mines
1/12,Maquette Abdhaljs-Legion
0/112,Inner Horutoto Ruins
1/15,Outer Horutoto Ruins
0/77,The Eldieme Necropolis
1/16,Gusgen Mines
0/76,Crawlers Nest
0/75,Maze of Shakhrami
1/17,Garlaige Citadel
1/18,FeiYin
1/19,QuBia Arena
280/2,Provenance
0/113,Port San dOria
1/33,Chateau dOraguille
1/43,Selbina
1/44,Mhaura

@zones_chains_of_promathia (XIData Recovered)
3/0/0,Phanauet Channel
3/0/1,Carpenters Landing
3/0/2,Manaclipper
3/0/3,Bibiki Bay
3/0/4,Uleguerand Range
3/0/5,Bearclaw Pinnacle
3/0/6,Attohwa Chasm
3/0/7,Boneyard Gully
3/0/8,PsoXja
