42/25,None
126/82,Pumpkin Head
137/97,Magnifying Specs.
137/98,Protective Specs.
137/99,Chef's Hat
137/100,Shaded Specs.
149/111,Dream Hat
155/71,Mandragora Beret
155/72,Guide Beret
156/90,Stars Cap
156/106,Laurel Crown
170/110,Witch Hat
182/18,Egg Helm
186/117,Moogle Cap
186/118,Nomad Cap
210/39,Viking Helm
219/70,Eyepatch
220/4,Spelunker's Helm
223/63,Jester's Cap
225/68,Snow Bunny Hat
238/102,Chocobo Beret
263/124,Destrier Beret
264/45,Charity Cap - Tohoku Earthquake Crysta Relief Fund
270/87,Snowman Cap
282/15,Decennial Tiara
286/32,Moogle Masque
287/68,Ahriman Cap
290/94,Mirth Masquette
304/34,Chocobo Masque
307/68,Bomb Masque
310/77,Slime Cap
310/78,Straw Hat
314/7,She-Slime Hat
314/8,Metal Slime Hat
314/108,Worm Masque
315/71,Gobbie Masque
315/72,G. Moogle Masque
318/108,Morbol Cap
321/96,Mandragora Masque
321/97,Lycopodium Masque
321/98,Flan Masque
325/12,Cait Sith Cap
325/104,Sheep Cap
326/75,Leafkin Cap
327/27,Rabbit Cap
327/28,Shobuhouou Kabuto
330/0,Cumulus Masque
330/8,Behemoth Masque
336/35,Buffalo Hat
336/36,Carbie Cap
336/37,Starlet Flower
344/0,Pachypodium Masque
344/1,Korrigan Masque
344/2,Gazer's Helmet
344/3,Curmudgeon's Helmet
344/4,Retching Helmet
347/30,Wyrmking Masque
351/92,Rarab Cap
351/93,Snoll Masque
352/17,Crab Cap
352/124,Kakai Cap
353/46,Black Chocobo Cap
353/69,Arthro Cap
353/77,White Rarab Cap
357/105,Royal Chocobo Beret
358/43,Karakul Cap
362/114,Byakko Masque
,Sandogasa
,Adenium Masque 
,Ziamet Khud
,Aucuba Crown
,Vaquero Hat
,Esthete's Masque
,Knit Cap
,Magh Bihu's Masque
,Boudox's Masque
,Sapphire Mask
,Jadeite Visor
,Diamond Somen
,Emerald Tiara
,Ruby Coronal
,Eyre Cap
,Arrogance Crown
,Envy Crown
382/50,Cowardice Petasos

42/36,Bronze Cap
42/41,Circlet
42/26,Leather Bandana
42/27,Sallet
42/28,Shinobi Hachigane
42/29,Iron Mask
42/30,Lizard Helm
42/31,Raptor Helm
42/32,Zunari Kabuto
42/33,Royal Squire's Helm
42/34,Royal Knight's Bascinet
42/35,Padded Cap
42/37,Bone Mask
42/38,Hachimaki
42/39,Wool Hat
42/40,Tactician Magician's Hat
42/42,Headgear
42/43,Darksteel Armet
42/44,Red Cap
42/45,Green Beret
42/46,Iron Musketeer's Armet
42/47,Centurion's Visor
42/48,Gavial Mask
42/49,Faceguard
42/50,Mythril Sallet
42/51,Blue Ribbon
42/52,Purple Ribbon
42/53,Green Ribbon
42/54,Black Ribbon
42/55,Scarlet Ribbon
93/106,Fighter's Mask (WAR Artifact)
93/107,Temple Crown (MNK Artifact)
93/108,Healer's Cap (WHM Artifact)
93/109,Wizard's Petasos (BLM Artifact)
93/110,Warlock's Chapeau (RDM Artifact)
93/111,Rogue's Bonnet (THF Artifact)
96/34,Gallant Coronet (PLD Artifact)
96/35,Chaos Burgeonet (DRK Artifact)
96/36,Beast Helm (BST Artifact)
96/37,Choral Roundlet (BRD Artifact)
96/38,Hunter's Beret (RNG Artifact)
98/120,Myochin Kabuto (SAM Artifact)
98/121,Ninja Hatsuburi (NIN Artifact)
98/122,Drachen Armet (DRG Artifact)
98/123,Evoker's Horn (SMN Artifact)
162/61,Magus Keffiyeh (BLU Artifact)
162/62,Corsair's Tricorne (COR Artifact)
162/63,Puppetry Taj (PUP Artifact)
198/60,Dancer's Tiara (DNC Artifact)
198/61,Scholar's Mortarboard (SCH Artifact)
120/100,Coeurl Mask
120/101,Adaman Barbuta
120/102,Coral Cap
120/103,Noble's Crown
120/104,Celata
120/105,Arhat's Jinpachi
120/106,Dragon Mask
124/64,Rasetsu Jinpachi
124/65,Crimson Mask
124/66,Adaman Celata
124/67,Ogre Mask
124/68,Koenig Schaller
125/51,War Beret
126/83,Roshi Jinpachi
126/84,Genbu's Kabuto
126/85,Hecatomb Cap
126/86,Errant Hat
129/61,Tiger Mask
129/62,Wyvern Helm
129/63,Demon Helm
129/64,Shura Zunari Kabuto
129/65,Zenith Crown
129/66,Carapace Helm
129/67,Dusk Mask
129/68,Dragon Cap
133/10,Warrior's Mask (WAR Relic)
133/11,Melee Crown (MNK Relic)
133/12,Cleric's Cap (WHM Relic)
133/13,Sorcerer's Petasos (BLM Relic)
133/14,Duelist's Chapeau (RDM Relic)
133/15,Assassin's Bonnet (THF Relic)
133/16,Valor Coronet (PLD Relic)
133/17,Abyss Burgeonet (DRK Relic)
133/18,Monster Helm (BST Relic)
