43/3,None
157/47,Invisible
43/11,Elvaan F Chausses
126/106,Fisherman's Hose
126/107,Chocobo Hose
126/108,Vagabond's Hose
129/81,Field Hose
204/69,Magna Shorts
238/124,Dinner Hose
264/1,Novennial Boots
270/90,Dream Pants
281/111,Woodsy Shorts
282/17,Decennial Tights
290/106,Morass Pants
304/38,Rustic Trunks
317/55,Shokuji Hanmomohiki
327/105,Pupil's Trousers
335/9,Cossie Bottom
336/46,Starlet Skirt
339/28,Track Pants
307/51,Alliance Pants
355/60,Pretty Pink Subligar
357/60,Swim Trunks
364/46,Morbol Subligar
364/104,Cait Sith Subligar
369/105,Ziamet Salvars
374/70,Denim Pants
374/71,Esthete's Hose
379/68,Sapphire Trousers
379/69,Jadeite Chausses
380/84,Diamond Hizayoroi
380/85,Emerald Shalwar
379/70,Ruby Slops
381/74,Arrogance Brais
381/75,Hebenus Shorts
382/53,Cowardice Tonban
,Envy Flanchard
,Apathy Brais
,Rage Brais

43/18,Bronze Subligar
43/23,Slops
43/4,Leather Trousers
43/5,Cuisses
43/6,Slacks
43/7,Shinobi Hakama
43/8,Chain Hose
43/9,Lizard Trousers
43/10,Raptor Trousers
43/12,Haidate
43/13,Linen Slacks
43/14,White Slacks
43/15,Royal Squire's Breeches
43/16,Royal Knight's Breeches
43/17,Iron Subligar
43/19,Bone Subligar
43/20,Sitabaki
43/21,Wool Slops
43/22,Tactician Magician's Slops
43/24,Brais
43/25,Darksteel Cuisses
43/26,Hose
43/27,Battle Hose
43/28,Iron Musketeer's Cuisses
43/29,Centurion's Cuisses
43/30,Gavial Cuisses
43/31,Scale Cuisses
43/32,Mythril Cuisses
43/33,Magna F Chausses
94/1,Fighter's Cuisses (WAR Artifact)
94/2,Temple Gaiters (MNK Artifact)
94/3,Healer's Pantaloons (WHM Artifact)
94/4,Wizard's Tonban (BLM Artifact)
94/5,Warlock's Tights (RDM Artifact)
94/6,Rogue's Culotte (THF Artifact)
96/49,Gallant Breeches (PLD Artifact)
96/50,Chaos Flanchard (DRK Artifact)
96/51,Beast Trousers (BST Artifact)
96/52,Choral Cannions (BRD Artifact)
96/53,Hunter's Braccae (RNG Artifact)
99/4,Myochin Haidate (SAM Artifact)
99/5,Ninja Hakama (NIN Artifact)
99/6,Drachen Brais (DRG Artifact)
