37/127,None
157/45,Invisible
38/7,Elvaan Gloves
126/54,Fisherman's Gloves
126/55,Chocobo Gloves
126/56,Vagabond's Gloves
129/45,Field Gloves
137/66,Carpenter's Gloves
137/67,Smithy's Mitts 
287/75,Dream Mittens
290/83,Councilor's Cuffs
310/74,Work Gloves
336/21,Agent Cuffs
352/89,Delegate's Cuffs
369/94,Ziamet Bazubands
379/46,Sapphire Gauntlets
379/47,Jadeite Gloves
380/71,Diamond Kote
380/72,Emerald Dastanas
379/48,Ruby Cuffs
381/66,Arrogance Gauntlets
381/112,Apathy Gauntlets
382/14,Rage Gauntlets
382/82,Envy Gauntlets
382/47,Cowardice Gloves

@--------------------------------

38/14,Bronze Mittens
38/19,Cuffs
38/0,Leather Gloves
38/1,Gauntlets
38/2,Mitts
38/3,Shinobi Tekko
38/4,Chain Mittens
38/5,Lizard Gloves
38/6,Raptor Gloves
38/8,Kote
38/9,Linen Mitts
38/10,Black Mitts
38/11,Royal Squire's Mufflers
38/12,Royal Knight's Mufflers
38/13,Iron Mittens
38/15,Bone Mittens
38/16,Tekko
38/17,Wool Cuffs
38/18,Tactician Magician's Cuffs
38/20,Gloves
38/21,Darksteel Gauntlets
38/22,Bracers
38/23,Battle Bracers
38/24,Iron Musketeer's Gauntlets
38/25,Centurion's Finger Gauntlets
38/26,Gavial Finger Gauntlets
38/27,Scale Finger Gauntlets
38/28,Mythril Gauntlets
38/29,Magna Gloves
93/88,Fighter's Mufflers (WAR Artifact)
93/89,Temple Gloves (MNK Artifact)
93/90,Healer's Mitts (WHM Artifact)
93/91,Wizard's Gloves (BLM Artifact)
93/92,Warlock's Gloves (RDM Artifact)
93/93,Rogue's Armlets (THF Artifact)
96/19,Gallant Gauntlets (PLD Artifact)
96/20,Chaos Gauntlets (DRK Artifact)
96/21,Beast Gloves (BST Artifact)
96/22,Choral Cuffs (BRD Artifact)
96/23,Hunter's Bracers (RNG Artifact)
98/97,Myochin Kote (SAM Artifact)
98/98,Ninja Tekko (NIN Artifact)
98/99,Drachen Finger Gauntlets (DRG Artifact)
98/100,Evoker's Bracers (SMN Artifact)
163/23,Magus Bazubands (BLU Artifact)
160/110,Corsair's Gants (COR-Artifact)
163/24,Puppetry Dastanas (PUP Artifact)
198/54,Dancer's Bangles (DNC Artifact)
198/55,Scholar's Bracers (SCH Artifact)
119/12,Tiger Gloves
119/13,Iron Finger Gauntlets
120/70,Steel Finger Gauntlets
120/71,Coeurl Gloves
120/72,Adaman Gauntlets
120/73,Coral Mittens
120/74,Noble's Mitts
120/75,Thick Mufflers
120/76,Arhat's Tekko
120/77,Dragon Finger Gauntlets
124/49,Rasetsu Tekko
124/50,Crimson Finger Gauntlets
124/51,Adaman Mufflers
124/52,Ogre Gloves
124/53,Koenig Handschuhs
125/48,War Gloves
126/50,Yasha Tekko
126/51,Seiryu's Kote
126/52,Hecatomb Mittens
126/53,Errant Cuffs
129/46,Shura Kote
129/47,Zenith Mitts
129/48,Carapace Gauntlets
129/49,Dusk Gloves
129/50,Dragon Mittens
132/89,Warrior's Mufflers (WAR Relic)
132/90,Melee Gloves (MNK Relic)
132/91,Cleric's Mitts (WHM Relic)
132/92,Sorcerer's Gloves (BLM Relic)
132/93,Duelist's Gloves (RDM Relic)
132/94,Assassin's Armlets (THF Relic)
132/95,Valor Gauntlets (PLD Relic)
132/96,Abyss Gauntlets (DRK Relic)
132/97,Monster Gloves (BST Relic)
132/98,Bard's Cuffs (BRD Relic)
132/99,Scout's Bracers (RNG Relic)
132/100,Saotome Kote (SAM Relic)
132/101,Koga Tekko (NIN Relic)
132/102,Wyrm Finger Gauntlets (DRG Relic)
132/103,Summoner's Bracers (SMN Relic)
214/92,Mirage Bazubands (BLU Relic)
214/93,Commodore Gants (COR Relic)
214/94,Pantin Dastanas (PUP Relic)
217/122,Etoile Bangles (DNC Relic)
217/81,Argute Bracers (SCH Relic)
132/104,Scorpion Gauntlets
132/105,Austere Cuffs
144/29,Hydra Mitts
144/30,Shade Mittens
144/31,Garish Mitts
144/32,Seer's Mitts
144/33,Hydra Gloves
144/34,Noct Gloves
145/109,Bison Wristbands
145/110,Sha'ir Gages
146/47,Barone Manopolas
146/86,Igqira Manillas
148/20,Eisenhentzes
149/21,Lord's Gauntlets
150/45,Hachiman Kote
150/46,Blessed Mitts
151/49,Wise Gloves
153/20,Unicorn Mittens
153/57,Trader's Cuffs
154/63,Alumine Moufles
154/124,Black Gadlings
157/89,Nashira Gages
158/28,Homam Manopolas
158/93,Trader's Cuffs (Black)
159/0,Crow Bracers
153/110,Hydra Moufles
160/68,Hydra Bracers
163/25,Sipahi Dastanas
162/58,Jaridah Bazubands
166/14,Amir Kolluks
166/15,Pahluwan Dastanas
166/16,Yigit Gages
174/80,Ares's Gauntlets
174/81,Skadi's Bazubands
175/105,Usukane Gote
175/106,Marduk's Dastanas
175/107,Morrigan's Cuffs
182/107,Goliard Cuffs
182/14,Denali Wristbands
182/106,Askar Manopolas
185/97,Shadow Gauntlets
186/3,Shadow Cuffs
199/55,Cobra Unit Gloves
200/87,Cobra Unit Mittens
201/29,Iron Ram Dastanas
196/68,San d'Orian Campaign Armor (Unobtainable)
198/119,Fourth Division Hentzes
198/118,Bastokan Campaign Armor (Unobtainable)
195/84,Orcish Gauntlets
207/36,Hachiryu Kote
219/67,Gothic Gauntlets
225/67,Synergy Gloves
236/19,Ebon Dastanas
236/20,Furia Dastanas
236/21,Ebur Dastanas
236/22,Ebon Mufflers
236/23,Furia Mufflers
236/24,Ebur Mufflers
236/25,Ebon Moufles
236/26,Furia Moufles
236/27,Ebur Moufles
236/28,Ebon Gauntlets
236/29,Furia Gauntlets
236/30,Ebur Gauntlets
228/41,Ebon Gloves
228/42,Furia Gloves
228/43,Ebur Gloves
228/44,Ebon Bracers
228/45,Furia Bracers
228/46,Ebur Bracers
228/47,Shikkoku Kote
228/48,Shinku Kote
228/49,Ginhaku Kote
228/50,Ebon Wristbands
229/122,Furia Wristbands
229/123,Ebur Wristbands
232/93,Ebon Gants
232/94,Furia Gants
232/95,Ebur Gants
232/96,Ebon Cuffs
232/97,Furia Cuffs
232/98,Ebur Cuffs
232/99,Ebon Gages
232/100,Furia Gages
232/101,Ebur Gages
232/102,Ebon Mitts
232/103,Furia Mitts
232/104,Ebur Mitts
248/0,Serpentes Cuffs
248/1,Praeda Gauntlets
248/2,Timarli Dastanas
248/3,Augur's Gloves
248/4,Ocelot Gloves
248/5,Perle Moufles
248/6,Teal Cuffs
248/7,Aurore Gloves
241/28,Goetia Gloves (BLM Empyrean)
241/29,Creed Gauntlets (PLD Empyrean)
244/11,Ravager's Mufflers (WAR Empyrean)
244/12,Estoqueur's Gantherots (RDM Empyrean)
251/110,Tantra Gloves (MNK Empyrean)
251/111,Raider's Armlets (THF Empyrean)
251/112,Bale Gauntlets (DRK Empyrean)
251/113,Ferine Manoplas (BST Empyrean)
251/114,Aoidos' Manchettes (BRD Empyrean)
251/115,Unkai Kote (SAM Empyrean)
251/116,Iga Tekko (NIN Empyrean)
251/117,Lancer Vambraces (DRG Empyrean)
251/118,Mavi Bazuband (BLU Empyrean)
251/119,Navarch's Gants (COR Empyrean)
251/120,Cirque Guanti (PUP Empyrean)
251/121,Savant's Bracers (SCH Empyrean)
254/30,Orison Mitts (WHM Empyrean)
254/86,Charis Bangles (DNC Empyrean)
256/41,Sylvan Glovelettes (RNG Empyrean)
256/42,Caller's Bracers (SMN Empyrean)
270/81,Brego Gloves
271/74,Ogier's Gauntlets
271/75,Athos's Gloves
271/76,Rubeus Gloves
277/98,Kheper Wristbands
277/99,Paean Cuffs
277/100,Auspex Gages
277/101,Hrafn Gauntlets
277/102,Tenryu Tekko
280/103,Paalaka Gloves
280/104,Aneirin's Gloves
280/105,Alcedo Gauntlets
282/56,Dux Finger Gauntlets
282/57,Chelona Gloves
291/76,Geomancy Mitaines (GEO Artifact)
292/50,Runeist Mitons (RUN Artifact)
290/80,Karieyh Moufles
290/81,Thurandaut Gloves
290/82,Orvail Cuffs
292/49,Yaoyotl / Quauhpilli
301/12,Mikinaak Gauntlets
301/13,Manibozho Gloves
301/14,Bokwus Gloves
304/29,Buremte Gloves
304/126,Bagua Mitaines (GEO Relic)
305/74,Futhark Mitons (RUN Relic)
305/75,Gorney Moufles
305/76,Shneddick Gloves
305/77,Weatherspoon Cuffs
312/50,Qaaxo Mitaines
312/51,Artsieq Cuffs
312/52,Xaddi Gauntlets
315/67,Erilaz Gauntlets (RUN Empyrean)
325/2,Crusher's Gauntlets
327/19,Azimuth Gloves (GEO Empyrean)
329/90,Despair finger Gauntlets
329/91,Pursuer's Cuffs
329/92,Psycloth Manillas
329/93,Eschite Gauntlets
329/94,Rawhide Gloves
329/95,Naga Tekko
329/96,Vanya Cuffs
329/105,Pursuer's Gloves
336/20,Founder's Gauntlets
343/105,Composer's Mitts
343/106,Odyssean Gauntlets 
343/107,Valorus Mitts
346/22,Merlinic Dastanas
348/57,Chironic Gloves
349/49,Herculean Gloves
362/44,Malignance Gloves
366/69,Ikenga's Gloves
366/70,Gleti's Gauntlets
366/71,Sakpata's Gauntlets
366/72,Mpaca's Gloves
366/73,Agwu's Gages
366/74,Bunzi's Gloves
368/103,Nyame Gauntlets
