57/27,None
157/50,Invisible
57/35,Galkan Bracers
127/103,Fisherman's Gloves
127/104,Chocobo Gloves
127/105,Vagabond's Gloves
130/37,Field Gloves
139/7,Carpenter's Gloves
139/8,Smithy's Mitts 
225/111,Synergy Gloves
287/79,Dream Mittens
310/107,Work Gloves
336/114,Agent Cuffs
352/97,Delegate's Cuffs
370/6,Ziamet Bazubands
379/122,Sapphire Gauntlets
379/123,Jadeite Gloves
380/115,Diamond Kote
380/116,Emerald Dastanas
379/124,Ruby Cuffs
381/96,Arrogance Gauntlets
,Envy Gauntlets
,Apathy Gauntlets
,Rage Gauntles
382/67,Cowardice Gloves

57/42,Bronze Mittens
57/47,Cuffs
57/28,Leather Gloves
57/29,Gauntlets
57/30,Mitts
57/31,Shinobi Tekko
57/32,Chain Mittens
57/33,Lizard Gloves
57/34,Raptor Gloves
57/36,Kote
57/37,Linen Mitts
57/38,Black Mitts
57/39,Royal Squire's Mufflers
57/40,Royal Knight's Mufflers
57/41,Iron Mittens
57/43,Bone Mittens
57/44,Tekko
57/45,Wool Cuffs
57/46,Tactician Magician's Cuffs
57/48,Gloves
57/49,Darksteel Gauntlets
57/50,Bracers
57/51,Battle Bracers
57/52,Iron Musketeer's Gauntlets
57/53,Centurion's Finger Gauntlets
57/54,Gavial Finger Gauntlets
57/55,Scale Finger Gauntlets
57/56,Mythril Gauntlets
57/57,Elder's Bracers
94/100,Fighter's Mufflers (WAR Artifact)
94/101,Temple Gloves (MNK Artifact)
94/102,Healer's Mitts (WHM Artifact)
94/103,Wizard's Gloves (BLM Artifact)
94/104,Warlock's Gloves (RDM Artifact)
94/105,Rogue's Armlets (THF Artifact)
96/119,Gallant Gauntlets (PLD Artifact)
96/120,Chaos Gauntlets (DRK Artifact)
96/121,Beast Gloves (BST Artifact)
96/122,Choral Cuffs (BRD Artifact)
96/123,Hunter's Bracers (RNG Artifact)
99/97,Myochin Kote (SAM Artifact)
99/98,Ninja Tekko (NIN Artifact)
99/99,Drachen Finger Gauntlets (DRG Artifact)
99/100,Evoker's Bracers (SMN Artifact)
164/10,Magus Bazubands (BLU Artifact)
