33/28,None
132/20,Invisible
33/36,Hume F Gloves
33/58,Judge's Gauntlets (GM)
126/10,Fisherman's Gloves
126/11,Chocobo Gloves
126/12,Vagabond's Gloves
129/15,Field Gloves
137/18,Carpenter's Gloves
137/19,Smithy's Mitts 
225/56,Synergy Gloves
287/74,Dream Mittens
290/63,Councilor's Cuffs
335/127,Starlet Gloves
352/87,Delegate's Cuffs
369/84,Ziamet Bazubands
379/27,Sapphire Gauntlets
379/28,Jadeite Gloves
380/60,Diamond Kote
380/61,Emerald Dastanas
379/29,Ruby Cuffs
381/59,Arrogance Gauntlets
382/77,Envy Gauntlets
,Apathy Gauntlets
,Rage Gauntles
382/42,Cowardice Gloves

@--------------------------------

33/43,Bronze Mittens
33/48,Cuffs
33/29,Leather Gloves
33/30,Gauntlets
33/31,Mitts
33/32,Shinobi Tekko
33/33,Chain Mittens
33/34,Lizard Gloves
33/35,Raptor Gloves
33/37,Kote
33/38,Linen Mitts
33/39,Black Mitts
33/40,Royal Squire's Mufflers
33/41,Royal Knight's Mufflers
33/42,Iron Mittens
33/44,Bone Mittens
33/45,Tekko
33/46,Wool Cuffs
33/47,Tactician Magician's Cuffs
33/49,Gloves
33/50,Darksteel Gauntlets
33/51,Bracers
33/52,Battle Bracers
33/53,Iron Musketeer's Gauntlets
33/54,Centurion's Finger Gauntlets
33/55,Gavial Finger Gauntlets
33/56,Scale Finger Gauntlets
33/57,Mythril Gauntlets
33/59,Custom F Gloves
93/52,Fighter's Mufflers (WAR Artifact)
93/53,Temple Gloves (MNK Artifact)
93/54,Healer's Mitts (WHM Artifact)
93/55,Wizard's Gloves (BLM Artifact)
93/56,Warlock's Gloves (RDM Artifact)
93/57,Rogue's Armlets (THF Artifact)
95/122,Gallant Gauntlets (PLD Artifact)
95/123,Chaos Gauntlets (DRK Artifact)
95/124,Beast Gloves (BST Artifact)
95/125,Choral Cuffs (BRD Artifact)
95/126,Hunter's Bracers (RNG Artifact)
98/66,Myochin Kote (SAM Artifact)
98/67,Ninja Tekko (NIN Artifact)
98/68,Drachen Finger Gauntlets (DRG Artifact)
98/69,Evoker's Bracers (SMN Artifact)
162/53,Magus Bazubands (BLU Artifact)
160/98,Corsair's Gants (COR Artifact)
163/7,Puppetry Dastanas (PUP Artifact)
189/33,Dancer's Bangles (DNC Artifact)
189/34,Scholar's Bracers (DNC Artifact)
119/4,Tiger Gloves
119/5,Iron Finger Gauntlets
120/25,Steel Finger Gauntlets
120/26,Coeurl Gloves
120/27,Adaman Gauntlets
120/28,Coral Mittens
120/29,Noble's Mitts
120/30,Thick Mufflers
120/31,Arhat's Tekko
120/32,Dragon Finger Gauntlets
124/24,Rasetsu Tekko
124/25,Crimson Finger Gauntlets
124/26,Adaman Mufflers
124/27,Ogre Gloves
124/28,Koenig Handschuhs
125/43,War Gloves
126/6,Yasha Tekko
126/7,Seiryu's Kote
126/8,Hecatomb Mittens
126/9,Errant Cuffs
129/16,Shura Kote
129/17,Zenith Mitts
129/18,Carapace Gauntlets
129/19,Dusk Gloves
129/20,Dragon Mittens
132/3,Warrior's Mufflers (WAR Relic)
132/4,Melee Gloves (MNK Relic)
132/5,Cleric's Mitts (WHM Relic)
132/6,Sorcerer's Gloves (BLM Relic)
132/7,Duelist's Gloves (RDM Relic)
132/8,Assassin's Armlets (THF Relic)
132/9,Valor Gauntlets (PLD Relic)
132/10,Abyss Gauntlets (DRK Relic)
132/11,Monster Gloves (BST Relic)
132/12,Bard's Cuffs (BRD Relic)
132/13,Scout's Bracers (RNG Relic)
132/14,Saotome Kote (SAM Relic)
132/15,Koga Tekko (NIN Relic)
132/16,Wyrm Finger Gauntlets (DRG Relic)
132/17,Summoner's Bracers (SMN Relic)
214/75,Mirage Bazubands (BLU Relic)
214/76,Commodore Gants (COR Relic)
214/77,Pantin Dastanas (PUP Relic)
217/117,Etoile Bangles (DNC Relic)
217/75,Argute Bracers (SCH Relic)
132/18,Scorpion Gauntlets
132/19,Austere Cuffs
143/121,Hydra Mitts
143/122,Shade Mittens
143/123,Garish Mitts
143/124,Seer's Mitts
143/125,Hydra Gloves
143/126,Noct Gloves
145/97,Bison Wristbands
145/98,Sha'ir Gages
146/42,Barone Manopolas
146/81,Igqira Manillas
148/15,Eisenhentzes
149/9,Lord's Gauntlets
150/33,Hachiman Kote
150/34,Blessed Mitts
151/44,Wise Gloves
153/15,Unicorn Mittens
153/52,Trader's Cuffs
154/57,Alumine Moufles
154/119,Black Gadlings
157/83,Nashira Gages
158/20,Homam Manopolas
158/88,Trader's Cuffs (Black)
158/123,Crow Bracers
153/99,Hydra Moufles
160/63,Hydra Bracers
163/8,Sipahi Dastanas
163/9,Jaridah Bazubands
165/126,Amir Kolluks
165/127,Pahluwan Dastanas
166/0,Yigit Gages
174/70,Ares's Gauntlets
174/71,Skadi's Bazubands
175/90,Usukane Gote
175/91,Marduk's Dastanas
175/92,Morrigan's Cuffs
182/89,Goliard Cuffs
182/8,Denali Wristbands
182/88,Askar Manopolas
185/92,Shadow Gauntlets
185/125,Shadow Cuffs
199/50,Cobra Unit Gloves
200/81,Cobra Unit Mittens
201/24,Iron Ram Dastanas
198/111,Fourth Division Hentzes
196/115,Bastokan Campaign Armor (Unobtainable)
195/82,Orcish Gauntlets
207/32,Hachiryu Kote
219/63,Gothic Gauntlets
235/87,Ebon Dastanas
235/88,Furia Dastanas
235/89,Ebur Dastanas
235/90,Ebon Mufflers
235/91,Furia Mufflers
235/92,Ebur Mufflers
235/93,Ebon Moufles
235/94,Furia Moufles
235/95,Ebur Moufles
235/96,Ebon Gauntlets
235/97,Furia Gauntlets
235/98,Ebur Gauntlets
227/118,Ebon Gloves
227/119,Furia Gloves
227/120,Ebur Gloves
227/121,Ebon Bracers
227/122,Furia Bracers
227/123,Ebur Bracers
227/124,Shikkoku Kote
227/125,Shinku Kote
227/126,Ginhaku Kote
227/127,Ebon Wristbands
229/112,Furia Wristbands
229/113,Ebur Wristbands
232/33,Ebon Gants
232/34,Furia Gants
232/35,Ebur Gants
232/36,Ebon Cuffs
232/37,Furia Cuffs
232/38,Ebur Cuffs
232/39,Ebon Gages
232/40,Furia Gages
232/41,Ebur Gages
232/42,Ebon Mitts
232/43,Furia Mitts
232/44,Ebur Mitts
247/92,Serpentes Cuffs
247/93,Praeda Gauntlets
247/94,Timarli Dastanas
247/95,Augur's Gloves
247/96,Ocelot Gloves
247/97,Perle Moufles
247/98,Teal Cuffs
247/99,Aurore Gloves
241/18,Goetia Gloves (BLM Empyrean)
241/19,Creed Gauntlets (PLD Empyrean)
244/1,Ravager's Mufflers (WAR Empyrean)
244/2,Estoqueur's Gantherots (RDM Empyrean)
251/50,Tantra Gloves (MNK Empyrean)
251/51,Raider's Armlets (THF Empyrean)
251/52,Bale Gauntlets (DRK Empyrean)
251/53,Ferine Manoplas (BST Empyrean)
251/54,Aoidos' Manchettes (BRD Empyrean)
251/55,Unkai Kote (SAM Empyrean)
251/56,Iga Tekko (NIN Empyrean)
251/57,Lancer Vambraces (DRG Empyrean)
251/58,Mavi Bazuband (BLU Empyrean)
251/59,Navarch's Gants (COR Empyrean)
251/60,Cirque Guanti (PUP Empyrean)
251/61,Savant's Bracers (SCH Empyrean)
254/25,Orison Mitts (WHM Empyrean)
254/81,Charis Bangles (DNC Empyrean)
256/31,Sylvan Glovelettes (RNG Empyrean)
256/32,Caller's Bracers (SMN Empyrean)
270/74,Brego Gloves
271/55,Ogier's Gauntlets
271/56,Athos's Gloves
271/57,Rubeus Gloves
277/72,Kheper Wristbands
277/73,Paean Cuffs
277/74,Auspex Gages
277/75,Hrafn Gauntlets
277/76,Tenryu Tekko
280/94,Paalaka Gloves
280/95,Aneirin's Gloves
280/96,Alcedo Gauntlets
282/46,Dux Finger Gauntlets
282/47,Chelona Gloves
286/92,Geomancy Mitaines (GEO Artifact)
292/39,Runeist Mitons (RUN Artifact)
290/60,Karieyh Moufles
290/61,Thurandaut Gloves
290/62,Orvail Cuffs
292/38,Yaoyotl / Quauhpilli
300/125,Mikinaak Gauntlets
300/126,Manibozho Gloves
300/127,Bokwus Gloves
304/21,Buremte Gloves
304/121,Bagua Mitaines (GEO Relic)
305/54,Futhark Mitons (RUN Relic)
305/55,Gorney Moufles
305/56,Shneddick Gloves
305/57,Weatherspoon Cuffs
310/67,Work Gloves
312/35,Qaaxo Mitaines
312/36,Artsieq Cuffs
312/37,Xaddi Gauntlets
315/59,Erilaz Gauntlets (RUN Empyrean)
324/116,Crusher's Gauntlets
327/7,Azimuth Gloves (GEO Empyrean)
329/34,Despair finger Gauntlets
329/35,Pursuer's Cuffs
329/36,Psycloth Manillas
329/37,Eschite Gauntlets
329/38,Rawhide Gloves
329/39,Naga Tekko
329/40,Vanya Cuffs
335/126,Founder's Gauntlets
343/74,Composer's Mitts
343/75,Odyssean Gauntlets 
343/76,Valorus Mitts
346/17,Merlinic Dastanas
348/52,Chironic Gloves
349/44,Herculean Gloves
362/37,Malignance Gloves
366/24,Ikenga's Gloves
366/25,Gleti's Gauntlets
366/26,Sakpata's Gauntlets
366/27,Mpaca's Gloves
366/28,Agwu's Gages
366/29,Bunzi's Gloves
368/98,Nyame Gauntlets
