27/103,None
27/104,Leather Bandana
27/105,Sallet
27/106,Shinobi Hachigane
27/107,Iron Mask
27/108,Lizard Helm
27/109,Raptor Helm
27/110,Zunari Kabuto
27/111,Royal Squire's Helm
27/112,Royal Knight's Bascinet
27/113,Padded Cap
27/114,Bronze Cap
27/115,Bone Mask
27/116,Hachimaki
27/117,Wool Hat
27/118,Tactician Magician's Hat
27/119,Circlet
27/120,Headgear
27/121,Darksteel Armet
27/122,Red Cap
27/123,Green Beret
27/124,Iron Musketeer's Armet
27/125,Centurion's Visor
27/126,Gavial Mask
27/127,Faceguard
28/0,Mythril Sallet
28/1,Judge's Helm (GM)
28/2,Blue Ribbon
28/3,Purple Ribbon
28/4,Green Ribbon
28/5,Black Ribbon
28/6,Scarlet Ribbon
92/127,Fighter's Mask (WAR Artifact)
93/0,Temple Crown (MNK Artifact)
93/1,Healer's Cap (WHM Artifact)
93/2,Wizard's Petasos (BLM Artifact)
93/3,Warlock's Chapeau (RDM Artifact)
93/4,Rogue's Bonnet (THF Artifact)
95/87,Gallant Coronet (PLD Artifact)
95/88,Chaos Burgeonet (DRK Artifact)
95/89,Beast Helm (BST Artifact)
95/90,Choral Roundlet (BRD Artifact)
95/91,Hunter's Beret (RNG Artifact)
98/27,Myochin Kabuto (SAM Artifact)
98/28,Ninja Hatsuburi (NIN Artifact)
98/29,Drachen Armet (DRG Artifact)
98/30,Evoker's Horn (SMN Artifact)
157/57,Magus Keffiyeh (BLU Artifact)
160/91,Corsair's Tricorne (COR Artifact)
163/91,Puppetry Taj (PUP Artifact)
189/19,Dancer's Tiara (DNC Artifact)
189/20,Scholar's Mortarboard (SCH Artifact)
119/93,Coeurl Mask
119/94,Adaman Barbuta
119/95,Coral Cap
119/96,Noble's Crown
119/97,Celata
119/98,Arhat's Jinpachi
119/99,Dragon Mask
123/117,Rasetsu Jinpachi
123/118,Crimson Mask
123/119,Adaman Celata
123/120,Ogre Mask
123/121,Koenig Schaller
125/36,War Beret
125/78,Pumpkin Head
125/79,Roshi Jinpachi
125/80,Genbu's Kabuto
125/81,Hecatomb Cap
125/82,Errant Hat
128/99,Tiger Mask
128/100,Wyvern Helm
128/101,Demon Helm
128/102,Shura Zunari Kabuto
128/103,Zenith Crown
128/104,Carapace Helm
128/105,Dusk Mask
128/106,Dragon Cap
131/12,Warrior's Mask (WAR Relic)
131/13,Melee Crown (MNK Relic)
131/14,Cleric's Cap (WHM Relic)
131/15,Sorcerer's Petasos (BLM Relic)
131/16,Duelist's Chapeau (RDM Relic)
131/17,Assassin's Bonnet (THF Relic)
131/18,Valor Coronet (PLD Relic)
131/19,Abyss Burgeonet (DRK Relic)
131/20,Monster Helm (BST Relic)
131/21,Bard's Roundlet (BRD Relic)
131/22,Scout's Beret (RNG Relic)
131/23,Saotome Kabuto (SAM Relic)
131/24,Koga Hatsuburi (NIN Relic)
131/25,Wyrm Armet (DRG Relic)
131/26,Summoner's Horn (SMN Relic)
212/33,Mirage Keffiyeh (BLU Relic)
214/20,Commodore Tricorne (COR Relic)
212/34,Pantin Taj (PUP Relic)
217/110,Etoile Tiara (DNC Relic)
217/67,Argute Mortarboard (SCH Relic)
131/27,Scorpion Helm
131/28,Austere Hat
136/81,Panther Mask
136/82,Opo-opo Crown
136/83,Magnifying Specs.
136/84,Protective Specs.
136/85,Chef's Hat
136/86,Shaded Specs.
143/75,Garish Crown
143/76,Seer's Crown
143/77,Hydra Beret
143/78,Noct Beret 
145/79,Hydra Tiara
145/80,Shade Tiara
