@Battle
56/14-22;99/86,Battle
115/73-76,Dual Wield (Main)
115/61-64,Dual Wield (Sub)

@Emote
56/41-45;123/69;138/108-110,Emote
259/100;260/121-127;261/0-1,Job Emotes

@General
223/102-104,Bell Ringing
90/44,Chocobo
198/15,Dancing
90/45,Fishing
143/62;143/73,Goldfish Scooping
123/68,Harvesting
56/46,Logging
123/67,Mining

@Ability
168/51,Angon
86/101;95/50-52,Bash
106/73-87,Jump
86/99-100,Mug
86/97-98,Steal
168/50,Tomahawk

@Hand-to-Hand
206/106,Ascetic's Fury
106/38,Asuran Fists
86/35,Backhand Blow
86/32,Combo
106/37,Dragon Kick
141/52,Final Heaven
86/38,Howling Fist
86/34,One Inch Punch
86/36,Raging Fists
272/62,Shijin Spiral
86/33,Shoulder Tackle
86/37,Spinning Attack
209/26,Stinging Pummel
243/59,Tornado Kick
255/122,Victory Smite

@Dagger
243/60,Aeolian Edge
86/43,Cyclone
86/46,Dancing Edge
86/45,Energy Drain
86/44,Energy Steal
106/40,Evisceration
269/10,Exenterator
86/42,Gust Slash
209/27,Mandalic Stab
141/53,Mercy Stroke
206/107,Mordant Rime
209/28,Pyrrhic Kleos
258/10,Rudra's Storm
86/41,Shadowstitch
106/39,Shark Bite
86/40,Viper Bite
86/39,Wasp Sting

@Sword
209/25,Atonement
86/24,Burning Blade
255/126,Chant du Cygne
86/29,Circle Blade
209/24,Death Blossom
206/105,Expiacion
86/23,Fast Blade
86/28,Flat Blade
240/38,Glory Slash
141/51,Knights of Round
86/25,Red Lotus Blade
269/9,Requiescat
245/8,Sanguine Blade
106/36,Savage Blade
86/27,Seraph Blade
86/26,Shining Blade
86/30,Spirits Within
106/35,Swift Blade
240/39,Uriel Blade
86/31,Vorpal Blade

@Club
106/46,Black Halo
86/63,Brainshaker
258/7,Dagan
243/62,Flash Nova
106/45,Hexa Strike
86/68,Judgment
86/65,Moonlight
206/109,Mystic Boon
141/56,Randgrith
269/86,Realmrazer
86/62,Seraph Strike
86/61,Shining Strike
86/66,Skullbreaker
86/64,Starlight
86/67,True Strike

@Axe
86/50,Avalanche Axe
245/5,Bora Axe
86/53,Calamity
255/123,Cloudsplitter
106/42,Decimation
