52/13,None
351/18,Pieuje Unity shirt
351/19,Ayame Unity shirt
351/20,I. Shield Unity shirt
351/21,Apururu Unity shirt
351/22,Maat Unity shirt
351/23,Aldo Unity shirt
351/24,Jakoh Unity shirt
351/25,Naja Unity shirt
351/26,Flaviria Unity shirt
351/27,Yoran Unity shirt
351/28,Sylvie Unity shirt
351/46, Rhapsody shirt
351/122,Akitu shirt
352/94,Delegate's Garb
353/24,Jubilee Shirt
353/51,Black Chocobo Suit
353/108,Crustacean Shirt
355/108,Gil Nabber Shirt
357/71,Swimsuit
358/94,Shadow Lord Shirt
361/59,Jody Shirt
362/15,Citrullus Shirt
363/57,Mithkabob Shirt
52/21,Mithran Separates
52/28,Bronze Harness
127/52,Fisherman's Tunica
127/53,Chocobo Jack Coat
127/54,Vagabond's Tunica
130/1,Field Tunica
138/79,Carpenter's Apron
138/80,Blacksmith's Apron
138/81,Weaver's Apron
138/82,Alchemist's Apron
138/83,Boneworker's Apron
138/84,Fisherman's Apron
138/85,Tanner's Apron
138/86,Culinarian's Apron
138/87,Goldsmith's Apron
159/89,Dream Robe
157/36,Mithra Top
143/38,Omina Yukata
183/22,Orange Racing Silks
183/23,Black Racing Silks
183/24,Purple Racing Silks
183/25,Sky Blue Racing Silks
183/26,Blue Racing Silks
183/27,Red Racing Silks
183/28,White Racing Silks
183/29,Green Racing Silks
214/121,Eerie Cloak
214/120,Tidal Talisman
223/51,Otokogusa Yukata
225/91,Carpenter's Smock
225/92,Blacksmith's Smock
225/93,Weaver's Smock
225/94,Alchemist's Smock
225/95,Boneworker's Smock
225/96,Fisherman's Smock
225/97,Tanner's Smock
225/98,Culinarian's Smock
225/99,Goldsmith's Smock
239/4,Dinner Jacket
264/4,Novennial Dress
265/119,Himegami Yukata
281/116,River Top
282/25,Decennial Dress
286/47,Moogle Suit
289/117,Chocobo Shirt
304/53,Chocobo Suit
304/54,Rustic Maillot
307/59,Alliance Shirt
310/98,G. Spriggan Coat
310/99,Overalls
314/21,Purple Spriggan Coat
314/22,Red Spriggan Coat
