@None
55/27,None

@Shield
55/28,Unknown Shield 1
55/29,Unknown Shield 2
291/51,Purple Shield
55/30,Judge's shield(GM Only)
55/43,Maple Shield
215/120,Kupo Shield
215/121,Nomad Shield
284/12,Mandraguard
288/98,Janus Guard
293/97,Leafkin Shield
301/91,Moogle Guard
301/92,Chocobo Shield
307/38,Slime Shield
314/51,Mundus shield 
314/52,She-Slime Shield
314/53,Metal Slime Shield
314/54,Hatchling Shield
316/69,Morbol Shield
320/100,Cait Sith Guard
354/73,Joiner's Escutcheon
354/74,Smythe's Escutcheon
354/75,Toreutic Escutcheon
354/76,Plaiter's Escutcheon
354/77,Beveler's Escutcheon
354/78,Ossifier's Escutcheon
354/79,Brewer's Escutcheon
354/80,Chef's Escutcheon
355/100,Kam'lanaut's Shield
361/47,Dullahan Shield
361/48,Cassie's Shield
368/71,Troth
369/3,Twinned Shield
372/25,Ark Shield
376/84,Ageist
55/44,Lauan Shield
55/48,Aspis
55/51,Buckler
55/45,Oak Shield
55/50,Targe
55/46,Elm Shield
55/38,Shell Shield
55/32,Kite Shield
55/47,Mahogany Shield
55/33,Heater Shield
55/40,Scutum
55/39,Tatami Shield
55/41,Tower Shield
55/49,Gold Buckler
55/34,Royal Knight Army Shield
55/35,Temple Knight Army Shield
55/52,Darksteel Buckler
55/30,Ritter Shield
55/37,Darksteel Shield
55/42,Faerie Shield
55/36,Royal Guard's Shield
55/53,Frost Shield
55/31,Caballero Shield
122/81,General's Shield
122/82,Koenig Shield
165/4,Tariqah
155/101,Genbu's Shield
155/87,Aegis
165/5,Januwiyah
130/62,Acheron Shield
245/96,Seigneur Shield
261/99,Ochain
274/34,Aegis (99)
274/35,Ochain (99)
278/127,Adamas
306/43,Beatific Shield
307/37,Camaraderie shield
314/51,Mundus Shield
320/9,Svalinn
332/18,Nibiru shield
332/19,Blurred shield
341/40,Culminus
345/29,Srivatsa
355/45,Diamond Buckler
362/7,Sacro Bulwark
376/83,Duban

@Hand
55/67,Bronze Knuckles
281/25,Unknown H2H
314/102,Worm Feelers
352/111,Aphelion Knuckles
355/79,Premium Mogti
