47/61,None
134/23,Invisible
47/69,Tarutaru Mitts
127/15,Fisherman's Gloves
127/16,Chocobo Gloves
127/17,Vagabond's Gloves
129/105,Field Gloves
138/32,Carpenter's Gloves
138/33,Smithy's Mitts 
225/89,Synergy Gloves
287/77,Dream Mittens
290/124,Councilor's Cuffs
310/90,Work Gloves (Male)
310/91,Work Gloves (Female)
336/67,Agent's Cuffs
336/68,Starlet Gloves
352/93,Delegate's Cuffs
369/114,Ziamet Bazubands
379/84,Sapphire Gauntlets
379/85,Jadeite Gloves
380/93,Diamond Kote
380/94,Emerald Dastanas
379/86,Ruby Cuffs
381/81,Arrogance Gauntlets
381/122,Apathy Gauntlets
382/20,Rage Gauntlets
382/92,Envy Gauntlets
382/57,Cowardice Gloves
383/45,Ilm Manillas

@--------------------------------

47/76,Bronze Mittens
47/81,Cuffs
47/62,Leather Gloves
47/63,Gauntlets
47/64,Mitts
47/65,Shinobi Tekko
47/66,Chain Mittens
47/67,Lizard Gloves
47/68,Raptor Gloves
47/70,Kote
47/71,Linen Mitts
47/72,Black Mitts
47/73,Royal Squire's Mufflers
47/74,Royal Knight's Mufflers
47/75,Iron Mittens
47/77,Bone Mittens
47/78,Tekko
47/79,Wool Cuffs
47/80,Tactician Magician's Cuffs
47/82,Gloves
47/83,Darksteel Gauntlets
47/84,Bracers
47/85,Battle Bracers
47/86,Iron Musketeer's Gauntlets
47/87,Centurion's Finger Gauntlets
47/88,Gavial Finger Gauntlets
47/89,Scale Finger Gauntlets
47/90,Mythril Gauntlets
47/91,Wonder Mitts
94/30,Fighter's Mufflers (WAR Artifact)
94/31,Temple Gloves (MNK Artifact)
94/32,Healer's Mitts (WHM Artifact)
94/33,Wizard's Gloves (BLM Artifact)
94/34,Warlock's Gloves (RDM Artifact)
94/35,Rogue's Armlets (THF Artifact)
96/69,Gallant Gauntlets (PLD Artifact)
96/70,Chaos Gauntlets (DRK Artifact)
96/71,Beast Gloves (BST Artifact)
96/72,Choral Cuffs (BRD Artifact)
96/73,Hunter's Bracers (RNG Artifact)
99/34,Myochin Kote (SAM Artifact)
99/35,Ninja Tekko (NIN Artifact)
99/36,Drachen Finger Gauntlets (DRG Artifact)
99/37,Evoker's Bracers (SMN Artifact)
157/103,Magus Bazubands (BLU Artifact)
163/51,Corsair's Gants (COR Artifact)
163/52,Puppetry Dastanas (PUP Artifact)
198/76,Dancer's Bangles (Male) (DNC Artifact)
198/77,Dancer's Bangles (Female) (DNC Artifact)
198/78,Scholar's Bracers (SCH Artifact)
119/28,Tiger Gloves
119/29,Iron Finger Gauntlets
121/32,Steel Finger Gauntlets
121/33,Coeurl Gloves
121/34,Adaman Gauntlets
121/35,Coral Mittens
121/36,Noble's Mitts
121/37,Thick Mufflers
121/38,Arhat's Tekko
121/39,Dragon Finger Gauntlets
124/99,Rasetsu Tekko
124/100,Crimson Finger Gauntlets
124/101,Adaman Mufflers
124/102,Ogre Gloves
124/103,Koenig Handschuhs
125/58,War Gloves
127/11,Yasha Tekko
127/12,Seiryu's Kote
127/13,Hecatomb Mittens
127/14,Errant Cuffs
129/106,Shura Kote
129/107,Zenith Mitts
129/108,Carapace Gauntlets
129/109,Dusk Gloves
129/110,Dragon Mittens
134/6,Warrior's Mufflers (WAR Relic)
134/7,Melee Gloves (MNK Relic)
134/8,Cleric's Mitts (WHM Relic)
134/9,Sorcerer's Gloves (BLM Relic)
134/10,Duelist's Gloves (RDM Relic)
134/11,Assassin's Armlets (THF Relic)
134/12,Valor Gauntlets (PLD Relic)
134/13,Abyss Gauntlets (DRK Relic)
134/14,Monster Gloves (BST Relic)
134/15,Bard's Cuffs (BRD Relic)
134/16,Scout's Bracers (RNG Relic)
134/17,Saotome Kote (SAM Relic)
134/18,Koga Tekko (NIN Relic)
134/19,Wyrm Finger Gauntlets (DRG Relic)
134/20,Summoner's Bracers (SMN Relic)
214/111,Mirage Bazubands (BLU Relic)
214/112,Commodore Gants (COR Relic)
214/113,Pantin Dastanas (PUP Relic)
218/6,Etoile Bangles (Male) (DNC Relic)
218/7,Etoile Bangles (Female) (DNC Relic)
217/93,Argute Bracers (SCH Relic)
134/21,Scorpion Gauntlets
134/22,Austere Cuffs
144/101,Hydra Mitts
144/102,Shade Mittens
144/103,Garish Mitts
144/104,Seer's Mitts
144/105,Hydra Gloves
144/106,Noct Gloves
146/5,Bison Wristbands
146/6,Sha'ir Gages
146/57,Barone Manopolas
146/96,Igqira Manillas
148/30,Eisenhentzes
149/45,Lord's Gauntlets
150/69,Hachiman Kote
150/70,Blessed Mitts
151/59,Wise Gloves
153/30,Unicorn Mittens
153/67,Trader's Cuffs
154/76,Alumine Moufles
155/6,Black Gadlings
157/104,Nashira Gages
158/44,Homam Manopolas
158/103,Trader's Cuffs (Black)
159/10,Crow Bracers
154/4,Hydra Moufles
160/78,Hydra Bracers
163/53,Sipahi Dastanas
163/54,Jaridah Bazubands
166/46,Amir Kolluks
166/47,Pahluwan Dastanas
166/48,Yigit Gages
174/100,Ares's Gauntlets
174/101,Skadi's Bazubands
176/7,Usukane Gote
176/8,Marduk's Dastanas
176/9,Morrigan's Cuffs
183/15,Goliard Cuffs
182/26,Denali Wristbands
183/14,Askar Manopolas
185/107,Shadow Gauntlets
186/15,Shadow Cuffs
199/65,Cobra Unit Gloves
196/94,Cobra Unit Mittens
201/39,Iron Ram Dastanas
199/11,Fourth Division Hentzes
199/10,Bastokan Campaign Armor (Unobtainable)
195/88,Orcish Gauntlets
207/44,Hachiryu Kote
219/75,Gothic Gauntlets
237/11,Ebon Dastanas
237/12,Furia Dastanas
237/13,Ebur Dastanas
237/14,Ebon Mufflers
237/15,Furia Mufflers
