47/92,None
157/48,Invisible
47/100,Tarutaru Braccae
157/34,Tarutaru Trunks
157/35,Tarutaru Shorts
204/72,Wonder Trunks (Male)
204/73,Wonder Shorts (Female)
239/1,Dinner Hose
263/72,Novennial Hose
264/3,Novennial Boots
270/97,Dream Trousers
270/98,Dream Pants
281/114,Creek Boxers
281/122,Creek Shorts
282/22,Decennial Hose
282/23,Decennial Tights
290/127,Morass Pants (Male)
291/0,Morass Pants (Female)
304/47,Rustic Trunks (Male)
304/48,Rustic Trunks (Female)
317/59,Kengyu Hanmomohiki
317/60,Shokujo Hanmomohiki
327/109,Pupil's Trousers (Male)
327/110,Pupil's Trousers (Female)
335/12,Swimming Togs
335/13,Cossie Bottom
336/71,Agent Pants
336/72,Starlet Skirt
339/31,Track Pants (Male)
339/32,Track Pants (Female)
307/55,Alliance Pants (Male)
307/56,Alliance Pants (Female)
355/61,Pretty Pink Subligar
357/66,Swim Trunks (Male)
357/67,Swim Trunks (Female)
364/49,Morbol Subligar 
364/105,Cait Sith Subligar
373/51,Mystery Pants <--
369/115,Ziamet Salvars
374/75,Denim Pants
374/76,Esthete's Hose
379/87,Sapphire Trousers
379/88,Jadeite Chausses
380/95,Diamond Hizayoroi
380/96,Emerald Shalwar
379/89,Ruby Slops
381/82,Arrogance Brais
381/83,Hebenus Boxers
381/84,Hebenus Shorts
382/58,Cowardice Tonban
,Envy Flanchard
,Apathy Brais
,Rage Brais

47/107,Bronze Subligar
47/112,Slops
47/93,Leather Trousers
47/94,Cuisses
47/95,Slacks
47/96,Shinobi Hakama
47/97,Chain Hose
47/98,Lizard Trousers
47/99,Raptor Trousers
47/101,Haidate
47/102,Linen Slacks
47/103,White Slacks
47/104,Royal Squire's Breeches
47/105,Royal Knight's Breeches
47/106,Iron Subligar
47/108,Bone Subligar
47/109,Sitabaki
47/110,Wool Slops
47/111,Tactician Magician's Slops
47/113,Brais
47/114,Darksteel Cuisses
47/115,Hose
47/116,Battle Hose
47/117,Iron Musketeer's Cuisses
47/118,Centurion's Cuisses
47/119,Gavial Cuisses
47/120,Scale Cuisses
47/121,Mythril Cuisses
47/122,Wonder Braccae
94/36,Fighter's Cuisses (WAR Artifact)
94/37,Temple Gaiters (MNK Artifact)
94/38,Healer's Pantaloons (WHM Artifact)
94/39,Wizard's Tonban (BLM Artifact)
